UNH ID #,Sample Name,Collection Date,Collection Time,Project,Sub_Project,NPOC (mg C/L),TDN (mg N/L),NH4 (ug N/L),PO4 (ug P/L),Cl (mg Cl/L),NO3 (mg N/L),SO4 (mg S/L),Na (mg Na/L),K (mg K/L),Mg (mg Mg/L),Ca (mg Ca/L),Sub_ProjectA,Sub_ProjectB,Field Notes,Lab_Notes,pH,Cond,Spec_Cond,DO_Conc,DO%,Temperature,Turbidity
197116,SBM,13-Oct-23,9:29:00 AM,Lamprey,QuEST,1.96,0.10,1.30,7.07,5.23,0.00,0.65,4.02,0.19,0.24,0.49,,Wymore,,,5.3,,28.2,6.3,58.1,11.7,0.54
197117,LMP07,13-Oct-23,9:52:00 AM,Lamprey,QuEST,5.78,0.25,10.15,6.70,6.71,0.02,0.66,5.01,0.62,0.50,1.81,,Wymore,,,5.66,,41.1,5.08,46.2,11.1,1.48
197118,LMP12,13-Oct-23,10:15:00 AM,Lamprey,QuEST,5.77,0.27,3.67,12.67,14.55,0.03,0.77,10.61,0.91,0.82,2.86,,Wymore,,,6.7,,74.6,10.19,92.4,11,1.82
197119,NCB,13-Oct-23,10:32:00 AM,Lamprey,QuEST,7.63,0.24,2.37,7.74,19.58,0.01,0.54,13.77,0.97,1.11,3.38,,Wymore,,,6.69,,96.5,9.3,83.5,10.6,1.33
197120,HRB,13-Oct-23,10:53:00 AM,Lamprey,QuEST,4.84,0.24,11.23,4.31,11.73,0.02,0.70,8.33,0.83,1.00,3.61,,Wymore,,,6.46,,69.9,8.17,74.1,11,2.49
197121,LMP19,13-Oct-23,11:12:00 AM,Lamprey,QuEST,5.74,0.30,2.37,10.09,14.69,0.07,0.97,10.58,1.02,0.92,3.65,,Wymore,,,6.46,,79.7,9.3,85.7,11.7,1.55
197122,NBR,13-Oct-23,11:35:00 AM,Lamprey,QuEST,6.72,0.38,1.30,5.45,19.66,0.01,0.67,13.37,1.03,0.98,4.49,,Wymore,bucket,,6.75,,98.9,10.02,92.5,11.8,0.98
197123,NBR-up,13-Oct-23,11:56:00 AM,Lamprey,QuEST,6.47,0.32,20.51,15.31,6.11,0.01,0.42,4.77,0.87,0.82,3.54,,Wymore,,,6.11,,45.8,5.05,47.4,12.4,1.30
197124,LMP27,13-Oct-23,12:36:00 PM,Lamprey,QuEST,5.62,0.37,3.67,6.76,18.66,0.07,0.85,12.86,1.07,0.98,3.98,,Wymore,,,6.57,,94.6,9.52,88.8,12.2,1.24
197125,DDB,13-Oct-23,1:01:00 PM,Lamprey,QuEST,7.08,0.47,24.83,12.06,5.60,0.11,0.67,4.65,0.62,0.83,3.39,,Wymore,plume of (very fine) sediment when sonde hit bottom,,6.27,,47,7.19,67,12.2,18.83
197126,CTB,13-Oct-23,1:38:00 PM,Lamprey,QuEST,2.69,0.08,0.43,6.71,,,,,,,,,Wymore,,,6,,20.8,9.49,85.6,10.8,0.64
197933,2023-11-20_BRM01_Rep 1,27-Nov-23,,QuEST,Arkansas,0.99,2.90,63.93,7.96,,,,,,,,Brush Creek,BRM01,,,,,,,,,
197934,2023-11-20_BRM01_Rep 2,27-Nov-23,,QuEST,Arkansas,1.04,2.87,5.35,4.03,10.33,2.70,8.09,6.49,2.27,3.34,61.62,Brush Creek,BRM01,,,,,,,,,
197935,2023-11-20_BRMQ1_Rep 1,27-Nov-23,,QuEST,Arkansas,0.98,3.06,3.71,5.02,10.28,2.91,8.52,6.55,2.33,3.41,55.36,Brush Creek,BRMQ1,,,,,,,,,
197936,2023-11-20_BRMQ1_Rep 2,27-Nov-23,,QuEST,Arkansas,1.00,3.05,3.10,5.02,10.30,2.91,8.52,6.57,2.31,3.45,57.83,Brush Creek,BRMQ1,,,,,,,,,
197937,2023-11-20_BRAA1_Rep 1,27-Nov-23,,QuEST,Arkansas,1.60,1.37,4.94,6.19,9.36,1.15,1.99,5.39,2.05,2.70,31.90,Brush Creek,BRAA1,,,,,,,,,
197938,2023-11-20_BRA01_Rep 1,27-Nov-23,,QuEST,Arkansas,0.93,4.38,10.45,17.97,12.36,4.26,0.85,7.53,2.58,1.80,34.87,Brush Creek,BRA01,,,,,,,,,
197939,2023-11-20_BRMQ3_Rep 1,27-Nov-23,,QuEST,Arkansas,1.47,3.15,98.02,58.60,8.15,3.25,11.76,11.09,4.81,6.78,30.91,Brush Creek,BRMQ3,,,,,,,,,
197940,2023-11-20_BRMQ3_Rep 2,27-Nov-23,,QuEST,Arkansas,1.51,3.11,7.18,31.12,7.27,3.04,11.73,10.56,4.45,6.81,31.72,Brush Creek,BRMQ3,,,,,,,,,
197941,2023-11-20_BRMQ4_Rep 1,27-Nov-23,,QuEST,Arkansas,6.96,0.32,16.78,96.28,7.44,0.11,11.89,5.33,3.24,5.44,53.62,Brush Creek,BRMQ4,,,,,,,,,
197942,2023-11-20_BRMQ4_Rep 2,27-Nov-23,,QuEST,Arkansas,6.87,0.33,66.99,102.56,8.80,0.16,11.90,6.08,4.01,5.49,57.29,Brush Creek,BRMQ4,,,,,,,,,
197943,2023-11-20_BRD01_Rep 1,27-Nov-23,,QuEST,Arkansas,1.80,0.62,35.35,1.68,14.65,0.41,27.39,11.34,1.75,6.04,75.81,Brush Creek,BRD01,,,,,,,,,
197944,2023-11-20_BRE01_Rep 1,27-Nov-23,,QuEST,Arkansas,12.09,0.89,210.49,160.85,7.40,0.01,3.51,2.83,9.24,5.69,48.41,Brush Creek,BRE01,,,,,,,,,
197945,2023-11-20_BRM05_Rep 1,27-Nov-23,,QuEST,Arkansas,1.22,0.52,2.49,6.00,8.92,0.40,10.74,7.80,1.80,5.44,44.34,Brush Creek,BRM05,,,,,,,,,
197946,2023-11-20_BRM05_Rep 2,27-Nov-23,,QuEST,Arkansas,1.24,0.50,6.37,6.39,9.08,0.41,10.81,7.79,1.82,5.44,40.43,Brush Creek,BRM05,,,,,,,,,
197947,2023-11-20_BRF01_Rep 1,27-Nov-23,,QuEST,Arkansas,1.59,0.10,89.04,4.03,5.27,0.01,10.71,5.02,1.48,6.84,54.66,Brush Creek,BRF01,,,,,,,,,
197948,2023-11-20_BRM06_Rep 1,27-Nov-23,,QuEST,Arkansas,1.06,0.24,75.16,3.45,9.14,0.16,4.40,4.92,1.94,3.85,32.34,Brush Creek,BRM06,,,,,,,,,
197949,2023-11-20_BRM06_Rep 2,27-Nov-23,,QuEST,Arkansas,1.08,0.25,80.67,3.25,9.01,0.14,4.13,4.96,1.96,3.88,26.04,Brush Creek,BRM06,,,,,,,,,
197950,2023-11-20_BRM07_Rep 1,27-Nov-23,,QuEST,Arkansas,1.09,0.08,63.11,1.88,12.50,0.01,6.56,6.53,1.60,5.79,35.98,Brush Creek,BRM07,,,,,,,,,
197951,2023-11-20_BRM07_Rep 2,27-Nov-23,,QuEST,Arkansas,1.08,0.07,81.89,1.88,12.43,0.01,6.59,6.54,1.60,5.77,37.72,Brush Creek,BRM07,,,,,,,,,
197952,2023-11-20_BRA02_Rep 1,27-Nov-23,,QuEST,Arkansas,0.51,5.73,90.06,3.45,10.61,5.78,0.60,7.70,1.25,1.33,44.57,Brush Creek,BRA02,,,,,,,,,
197953,60,30-May-23,,QuEST,New Mexico,,,4.18,1.13,1.79,0.26,0.87,1.72,0.49,0.96,3.25,Sante Fe Watershed,USF1,general water chemistry,"Did not receive sample 12, but received another sample labeled 77 not listed. Sample 77 was given sample 12's UNH id -WQAL",,,,,,,
197954,112,30-May-23,,QuEST,New Mexico,,,4.39,1.53,1.76,0.26,0.85,1.70,0.48,0.96,3.24,Sante Fe Watershed,USF1,general water chemistry,,,,,,,,
197955,8,30-May-23,,QuEST,New Mexico,,,4.83,0.53,2.67,0.04,2.12,2.17,0.59,1.99,5.50,Sante Fe Watershed,USF2,general water chemistry,,,,,,,,
197956,2,30-May-23,,QuEST,New Mexico,,,5.69,1.93,1.73,0.24,0.80,1.66,0.50,0.87,3.08,Sante Fe Watershed,USF3,general water chemistry,,,,,,,,
197957,72,30-May-23,,QuEST,New Mexico,,,6.12,2.13,1.74,0.25,0.82,1.66,0.49,0.86,3.09,Sante Fe Watershed,USF3,general water chemistry,,,,,,,,
197958,81,31-May-23,,QuEST,New Mexico,,,8.28,10.49,3.16,0.01,3.19,5.44,1.16,4.61,9.44,Sante Fe Watershed,USF4,general water chemistry,,,,,,,,
197959,26,31-May-23,,QuEST,New Mexico,,,6.99,1.53,1.71,0.27,0.83,1.62,0.47,0.85,3.05,Sante Fe Watershed,USF5,general water chemistry,,,,,,,,
197960,28,31-May-23,,QuEST,New Mexico,,,6.12,2.92,1.78,0.25,0.79,1.63,0.48,0.82,3.02,Sante Fe Watershed,USF5,general water chemistry,,,,,,,,
197961,11,01-Jun-23,,QuEST,New Mexico,,,4.39,5.51,1.77,0.24,0.77,1.65,0.48,0.83,3.13,Sante Fe Watershed,USF6,general water chemistry,,,,,,,,
197962,31,01-Jun-23,,QuEST,New Mexico,,,4.61,3.12,1.76,0.24,0.79,1.63,0.47,0.82,3.08,Sante Fe Watershed,USF6,general water chemistry,,,,,,,,
197963,6,01-Jun-23,,QuEST,New Mexico,,,2.88,2.72,2.36,0.81,1.95,3.39,0.87,1.83,4.59,Sante Fe Watershed,USF7,general water chemistry,,,,,,,,
197964,12,01-Jun-23,,QuEST,New Mexico,,,2.88,2.53,2.46,0.01,2.21,5.23,0.85,5.44,9.31,Sante Fe Watershed,USF8,general water chemistry,,,,,,,,
197965,17,12-Jun-23,,QuEST,New Mexico,,,8.07,1.73,1.58,0.09,0.58,1.26,0.40,0.69,2.76,Sante Fe Watershed,USF10,general water chemistry,,,,,,,,
197966,37,12-Jun-23,,QuEST,New Mexico,,,10.23,1.73,1.59,0.09,0.59,1.26,0.40,0.68,2.73,Sante Fe Watershed,USF10,general water chemistry,,,,,,,,
197967,93,12-Jun-23,,QuEST,New Mexico,,,5.47,3.72,1.77,0.26,0.95,1.84,0.45,0.86,3.80,Sante Fe Watershed,USF11,general water chemistry,,,,,,,,
197968,21,12-Jun-23,,QuEST,New Mexico,,,4.83,4.52,1.78,0.62,0.96,2.45,0.62,1.06,3.22,Sante Fe Watershed,USF9,general water chemistry,,,,,,,,
197969,56,13-Jun-23,,QuEST,New Mexico,,,3.10,1.53,1.74,0.22,0.87,1.80,0.46,1.01,3.44,Sante Fe Watershed,USF12,general water chemistry,,,,,,,,
197970,69,13-Jun-23,,QuEST,New Mexico,,,2.88,2.92,1.76,0.22,0.84,1.87,0.48,1.02,3.49,Sante Fe Watershed,USF12,general water chemistry,,,,,,,,
197971,91,13-Jun-23,,QuEST,New Mexico,,,2.02,1.33,2.59,0.02,2.09,2.35,0.60,2.19,6.03,Sante Fe Watershed,USF2,general water chemistry,,,,,,,,
197972,89,13-Jun-23,,QuEST,New Mexico,,,1.80,1.93,1.73,0.22,0.84,1.76,0.46,0.94,3.29,Sante Fe Watershed,USF3,general water chemistry,,,,,,,,
197973,96,13-Jun-23,,QuEST,New Mexico,,,3.10,4.72,1.82,0.23,0.83,1.92,0.48,0.98,3.56,Sante Fe Watershed,USF3,general water chemistry,,,,,,,,
197974,18,13-Jun-23,,QuEST,New Mexico,,,1.59,9.30,3.12,0.01,3.30,5.64,1.19,4.91,10.05,Sante Fe Watershed,USF4,general water chemistry,,,,,,,,
197975,27,13-Jun-23,,QuEST,New Mexico,,,1.59,1.73,1.71,0.19,0.74,1.58,0.40,0.82,3.05,Sante Fe Watershed,USF5,general water chemistry,,,,,,,,
197976,33,13-Jun-23,,QuEST,New Mexico,,,,3.52,2.05,0.19,0.74,1.55,0.43,0.88,3.21,Sante Fe Watershed,USF5,general water chemistry,,,,,,,,
197977,22,13-Jun-23,,QuEST,New Mexico,,,,1.53,2.07,0.16,0.73,1.60,0.45,0.85,3.26,Sante Fe Watershed,USF6,general water chemistry,,,,,,,,
197978,80,13-Jun-23,,QuEST,New Mexico,,,,1.93,2.05,0.16,0.71,1.59,0.45,0.85,3.29,Sante Fe Watershed,USF6,general water chemistry,,,,,,,,
197979,14,13-Jun-23,,QuEST,New Mexico,,,,2.72,2.68,0.85,1.87,3.41,0.85,1.81,4.76,Sante Fe Watershed,USF7,general water chemistry,,,,,,,,
197980,121,12-Jul-23,,QuEST,New Mexico,,,,6.11,2.20,0.18,0.92,2.30,0.55,1.34,4.53,Sante Fe Watershed,USF12,general water chemistry,,,,,,,,
197981,143,12-Jul-23,,QuEST,New Mexico,,,,3.72,2.10,0.18,0.92,2.13,0.53,1.30,4.36,Sante Fe Watershed,USF12,general water chemistry,,,,,,,,
197982,138,12-Jul-23,,QuEST,New Mexico,,,,0.73,2.82,0.06,2.07,2.83,0.69,3.08,8.37,Sante Fe Watershed,USF2,general water chemistry,,,,,,,,
197983,124,12-Jul-23,,QuEST,New Mexico,,,,3.12,2.06,0.21,0.89,2.12,0.53,1.23,4.33,Sante Fe Watershed,USF3,general water chemistry,,,,,,,,
197984,142,12-Jul-23,,QuEST,New Mexico,,,,3.12,2.06,0.21,0.89,2.12,0.52,1.22,4.30,Sante Fe Watershed,USF3,general water chemistry,,,,,,,,
197985,5,12-Jul-23,,QuEST,New Mexico,,,,11.49,3.62,0.01,3.36,6.85,1.41,6.63,13.12,Sante Fe Watershed,USF4,general water chemistry,,,,,,,,
197986,35,12-Jul-23,,QuEST,New Mexico,,,,3.52,2.05,0.22,0.91,2.07,0.50,1.18,4.19,Sante Fe Watershed,USF5,general water chemistry,,,,,,,,
197987,130,12-Jul-23,,QuEST,New Mexico,,,,2.92,2.06,0.22,0.90,2.07,0.50,1.17,4.22,Sante Fe Watershed,USF5,general water chemistry,,,,,,,,
197988,122,12-Jul-23,,QuEST,New Mexico,,,,2.92,2.02,0.18,0.84,1.99,0.48,1.10,4.01,Sante Fe Watershed,USF6,general water chemistry,,,,,,,,
197989,129,12-Jul-23,,QuEST,New Mexico,,,,3.12,2.04,0.18,0.85,1.90,0.46,1.07,3.91,Sante Fe Watershed,USF6,general water chemistry,,,,,,,,
197990,135,12-Jul-23,,QuEST,New Mexico,,,,3.52,2.59,0.55,1.88,3.67,0.87,2.04,5.35,Sante Fe Watershed,USF7,general water chemistry,,,,,,,,
197991,63,13-Jul-23,,QuEST,New Mexico,,,,3.32,1.92,0.14,0.68,1.55,0.41,0.98,3.55,Sante Fe Watershed,USF10,general water chemistry,,,,,,,,
197992,132,13-Jul-23,,QuEST,New Mexico,,,,3.32,1.91,0.14,0.65,1.51,0.40,0.99,3.59,Sante Fe Watershed,USF10,general water chemistry,,,,,,,,
197993,58,13-Jul-23,,QuEST,New Mexico,,,,2.92,2.22,0.21,1.16,2.43,0.49,1.19,4.94,Sante Fe Watershed,USF11,general water chemistry,,,,,,,,
197994,128,13-Jul-23,,QuEST,New Mexico,,,,5.91,2.14,0.45,0.88,2.62,0.52,1.20,3.72,Sante Fe Watershed,USF9,general water chemistry,,,,,,,,
197995,3,02-Aug-23,,QuEST,New Mexico,,,,3.52,2.11,0.17,0.91,2.36,0.59,1.43,4.72,Sante Fe Watershed,USF12,general water chemistry,,,,,,,,
197996,47,02-Aug-23,,QuEST,New Mexico,,,,3.92,2.11,0.17,0.94,2.33,0.58,1.42,4.68,Sante Fe Watershed,USF12,general water chemistry,,,,,,,,
197997,68,02-Aug-23,,QuEST,New Mexico,,,,3.52,2.09,0.23,0.96,2.16,0.53,1.27,4.39,Sante Fe Watershed,USF3,general water chemistry,,,,,,,,
197998,131,02-Aug-23,,QuEST,New Mexico,,,,4.72,2.09,0.23,0.96,2.30,0.56,1.34,4.62,Sante Fe Watershed,USF3,general water chemistry,,,,,,,,
197999,10,02-Aug-23,,QuEST,New Mexico,,,,3.92,2.09,0.24,0.97,2.23,0.53,1.27,4.48,Sante Fe Watershed,USF5,general water chemistry,,,,,,,,
198000,20,02-Aug-23,,QuEST,New Mexico,,,,3.72,2.08,0.24,0.92,2.30,0.54,1.33,4.64,Sante Fe Watershed,USF5,general water chemistry,,,,,,,,
198001,46,02-Aug-23,,QuEST,New Mexico,,,,5.71,1.29,0.24,1.00,2.36,0.49,1.25,4.40,Sante Fe Watershed,USF6,general water chemistry,,,,,,,,
