ID,Area,Area_m2
1,3091.337725,
2,1030.445908,
3,28860196.64,28860197
4,23590503.79,1857528
5,23590503.79,23590504
6,21454810.09,
7,18544.37367,2296412
8,81389.19554,82419.44
8,1030.242981,
9,1938917.291,1938917
10,6393687.943,6393688
11,5003890.161,5003890
12,35499891.99,35499892
13,2060.485963,759289.1
14,2804321.396,2804321
15,848920.2167,848920.2
16,7211.70087,387371.4
16,1030.242981,
17,219441.7551,219441.8
18,1030.242981,114357
18,112296.485,114357
19,3079.572617,118050.3
20,19141914.6,19141915
21,2818744.797,2818745
22,1030.242981,685111.6
22,684081.3397,685111.6
23,1428947.015,1428947
24,1484872.554,1484873
25,1144825.404,1144825
26,1030.445908,429695.9
27,190933.5022,190933.5
28,56663.36398,56663.36
29,71086.76572,71086.77
