UNH ID #,samplename ,Collection Date,Collection Time,Project,Sub_Project,NPOC (mg C/L),TDN (mg N/L),NH4 (ug N/L),PO4 (ug P/L),Cl (mg Cl/L),NO3 (mg N/L),SO4 (mg S/L),Sub_ProjectA,Sub_ProjectB,Field Notes,Lab_Notes
197953,60,30-May-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF1,general water chemistry,"Did not receive sample 12, but received another sample labeled 77 not listed. Sample 77 was given sample 12's UNH id -WQAL"
197954,112,30-May-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF1,general water chemistry,
197955,8,30-May-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF2,general water chemistry,
197956,2,30-May-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF3,general water chemistry,
197957,72,30-May-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF3,general water chemistry,
197958,81,31-May-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF4,general water chemistry,
197959,26,31-May-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF5,general water chemistry,
197960,28,31-May-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF5,general water chemistry,
197961,11,01-Jun-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF6,general water chemistry,
197962,31,01-Jun-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF6,general water chemistry,
197963,6,01-Jun-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF7,general water chemistry,
197964,12,01-Jun-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF8,general water chemistry,
197965,17,12-Jun-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF10,general water chemistry,
197966,37,12-Jun-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF10,general water chemistry,
197967,93,12-Jun-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF11,general water chemistry,
197968,21,12-Jun-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF9,general water chemistry,
197969,56,13-Jun-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF12,general water chemistry,
197970,69,13-Jun-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF12,general water chemistry,
197971,91,13-Jun-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF2,general water chemistry,
197972,89,13-Jun-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF3,general water chemistry,
197973,96,13-Jun-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF3,general water chemistry,
197974,18,13-Jun-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF4,general water chemistry,
197975,27,13-Jun-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF5,general water chemistry,
197976,33,13-Jun-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF5,general water chemistry,
197977,22,13-Jun-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF6,general water chemistry,
