OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98700869,Sample-Routine,Water,Surface Water,1987-05-28,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353719105550410,,"UPDATED K,DIS 10-4;ERROR IN AUTO DATA",,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116662002,,,Oxygen-18/Oxygen-16 ratio,Total,-11.45,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801085,Sample-Routine,Water,Bulk deposition,1987-12-04,,,1988-02-17,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665883,,,Oxygen-18/Oxygen-16 ratio,Total,-16.90,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801072,Sample-Routine,Water,Bulk deposition,1988-05-23,,,1988-06-08,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665853,,,Oxygen-18/Oxygen-16 ratio,Total,-7.90,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900522,Sample-Routine,Water,Groundwater,1988-10-18,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353700105572201,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949073,,,Oxygen-18/Oxygen-16 ratio,Total,-10.50,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900536,Sample-Routine,Water,Groundwater,1988-10-25,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354336105543301,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949112,,,Oxygen-18/Oxygen-16 ratio,Total,-10.70,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801036,Sample-Routine,Water,Bulk deposition,1988-07-29,,,1988-08-15,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665726,,,Oxygen-18/Oxygen-16 ratio,Total,-5.50,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900538,Sample-Routine,Water,Groundwater,1988-10-25,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354504105552401,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949118,,,Oxygen-18/Oxygen-16 ratio,Total,-12.40,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801044,Sample-Routine,Water,Bulk deposition,1988-08-25,,,1988-09-19,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665802,,,Oxygen-18/Oxygen-16 ratio,Total,-9.25,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900497,Sample-Routine,Water,Groundwater,1988-10-27,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354811105545801,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949028,,,Oxygen-18/Oxygen-16 ratio,Total,-13.90,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900529,Sample-Routine,Water,Groundwater,1988-10-24,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353643106001201,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949091,,,Oxygen-18/Oxygen-16 ratio,Total,-11.35,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900525,Sample-Routine,Water,Groundwater,1988-10-18,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353552105543101,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949079,,,Oxygen-18/Oxygen-16 ratio,Total,-9.35,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801068,Sample-Routine,Water,Bulk deposition,1988-03-22,,,1988-04-07,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665841,,,Oxygen-18/Oxygen-16 ratio,Total,-23.25,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900498,Sample-Routine,Water,Groundwater,1988-10-27,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354756105551201,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949031,,,Oxygen-18/Oxygen-16 ratio,Total,-12.55,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900499,Sample-Routine,Water,Groundwater,1988-10-27,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-355333106021901,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-120558230,,,Oxygen-18/Oxygen-16 ratio,Total,-10.55,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900505,Sample-Routine,Water,Groundwater,1988-10-28,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354801105551401,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949046,,,Oxygen-18/Oxygen-16 ratio,Total,-13.55,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
