Site,Lat,Lon,Need ,Lat used,Lon used
USF1,35.6886,-105.8241,No,,
USF2,35.68839,-105.82343,No,,
USF3,35.70785,-105.80577,Yes,,
USF4,35.72103,-105.7979,Yes,35.72107,-105.79823
USF5,35.72102,-105.7978,Yes,,
USF6,35.73015,-105.79069,No,,
USF7,35.73046,-105.7913,Yes,35.73054,-105.79125
USF8,35.71702,-105.80235,?,,
USF9,35.74937,-105.7783,Yes,,
USF10,35.74887,-105.7771,Yes,,
USF11,35.74505,-105.77615,Yes,,
USF12,35.68878,-105.82297,Yes,,
USF13,35.7806,-105.77443,Yes,35.78053,-105.77448
USF14,35.77946,-105.77356,Yes,,
USF15,35.78403,-105.77209,Yes,,
USF16,35.78391,-105.77136,Yes,35.78412,-105.77157
USF17,35.78192,-105.77138,Yes,,
USF18,35.78298,-105.77126,Yes,,
USF19,35.7888,-105.77641,Yes,35.78889,-105.77628
USF20,35.73099,-105.79001,Yes,,
USF21,35.77915,-105.77381,Yes,,
USF22,35.73166,-105.7937,Yes,,
USF23,35.73186,-105.7932,Yes,,
USF24,35.68912,-105.8199,Yes,,
USF25,35.69586,-105.81306,Yes,,
USF26,35.70311,-105.80703,Yes,35.70329,-105.80692
USF27,35.7868,-105.77811,Yes,,
USF28,35.78035,-105.77231,Yes,,
USF29,35.78164,-105.77125,Yes,,
USF30,35.78891,-105.77715,Yes,,
