Project,Site,Date,Time,Type,Location,lat,lon,ID,bottle_type,filtered_uM,SpC_uScm2,temp_C,sampled_by,collection_notes,status_location,DOC_mgL,DOC_file,DOC_notes,Network Role,Discharge,Discharge Notes,,,
USF,USF1,5/30/23,11:15,stream water,at old USGS station (not current big cement flume)3 just upstream on mainstem of Santa Fe River above McClure reservoir,35.68857,-105.82409,60,60_mL,0.45,NA,NA,AJW,get Q from USGS,shipped to UNH,,,,,N/A,no discharge measured,,,
USF,USF1,5/30/23,11:15,stream water,at old USGS station (not current big cement flume)3 just upstream on mainstem of Santa Fe River above McClure reservoir,35.68857,-105.82409,111,60_mL,0.45,NA,NA,AJW,get Q from USGS,lab freezer,,,,,N/A,no discharge measured,,,
USF,USF1,5/30/23,11:15,stream water,at old USGS station (not current big cement flume)3 just upstream on mainstem of Santa Fe River above McClure reservoir,35.68857,-105.82409,112,60_mL,0.45,NA,NA,AJW,get Q from USGS,shipped to UNH,,,,,N/A,no discharge measured,,,
USF,USF1,5/30/23,11:15,stream water,at old USGS station (not current big cement flume)3 just upstream on mainstem of Santa Fe River above McClure reservoir,35.68857,-105.82409,d_112,30_mL_dark,0.45,NA,NA,AJW,get Q from USGS,shipped to UNH,,,,,N/A,no discharge measured,,,
USF,USF1,5/30/23,11:15,stream water,at old USGS station (not current big cement flume)3 just upstream on mainstem of Santa Fe River above McClure reservoir,35.68857,-105.82409,d_60,30_mL_dark,0.45,NA,NA,AJW,get Q from USGS,shipped to UNH,,,,,N/A,no discharge measured,,,
USF,USF1,5/30/23,11:15,stream water,at old USGS station (not current big cement flume)3 just upstream on mainstem of Santa Fe River above McClure reservoir,35.68857,-105.82409,i_60,iso_vial,0.45,NA,NA,AJW,get Q from USGS,at CSI,,,,,N/A,no discharge measured,,,
USF,USF2,5/30/23,11:45,stream water,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road",35.68829,-105.8236,8,60_mL,0.45,69,-0.02,AJW,,shipped to UNH,,,,,8.046618,curve does not reach bg spc levels (by 4 spc),,,
USF,USF2,5/30/23,11:45,stream water,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road",35.68829,-105.8236,9,60_mL,0.45,69,-0.02,AJW,,lab freezer,,,,,8.046618,curve does not reach bg spc levels (by 4 spc),,,
USF,USF2,5/30/23,11:45,stream water,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road",35.68829,-105.8236,16,60_mL,0.45,69,-0.02,AJW,,lab freezer,,,,,8.046618,curve does not reach bg spc levels (by 4 spc),,,
USF,USF2,5/30/23,11:45,stream water,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road",35.68829,-105.8236,d_8,30_mL_dark,0.45,69,-0.02,AJW,,shipped to UNH,,,,,8.046618,curve does not reach bg spc levels (by 4 spc),,,
USF,USF2,5/30/23,11:45,stream water,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road",35.68829,-105.8236,d_9,30_mL_dark,0.45,69,-0.02,AJW,,lab freezer,,,,,8.046618,curve does not reach bg spc levels (by 4 spc),,,
USF,USF2,5/30/23,11:45,stream water,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road",35.68829,-105.8236,i_8,iso_vial,0.45,69,-0.02,AJW,,at CSI,,,,,8.046618,curve does not reach bg spc levels (by 4 spc),,,
USF,USF3,5/30/23,14:00,stream water,"at end of road, just upstream of log crossing mainstem, on mainstem",35.70783,-105.80571,2,60_mL,0.45,40,0.91,AJW,,shipped to UNH,,,,,1031.767,"do not have start of curve, would not use, off by 6spc",,,
USF,USF3,5/30/23,14:00,stream water,"at end of road, just upstream of log crossing mainstem, on mainstem",35.70783,-105.80571,23,60_mL,0.45,40,0.91,AJW,,lab freezer,,,,,1031.767,"do not have start of curve, would not use, off by 6spc",,,
USF,USF3,5/30/23,14:00,stream water,"at end of road, just upstream of log crossing mainstem, on mainstem",35.70783,-105.80571,72,60_mL,0.45,40,0.91,AJW,,shipped to UNH,,,,,1031.767,"do not have start of curve, would not use, off by 6spc",,,
USF,USF3,5/30/23,14:00,stream water,"at end of road, just upstream of log crossing mainstem, on mainstem",35.70783,-105.80571,d_2,30_mL_dark,0.45,40,0.91,AJW,,shipped to UNH,,,,,1031.767,"do not have start of curve, would not use, off by 6spc",,,
USF,USF3,5/30/23,14:00,stream water,"at end of road, just upstream of log crossing mainstem, on mainstem",35.70783,-105.80571,d_72,30_mL_dark,0.45,40,0.91,AJW,,shipped to UNH,,,,,1031.767,"do not have start of curve, would not use, off by 6spc",,,
USF,USF3,5/30/23,14:00,stream water,"at end of road, just upstream of log crossing mainstem, on mainstem",35.70783,-105.80571,i_72,iso_vial,0.45,40,0.91,AJW,,at CSI,,,,,1031.767,"do not have start of curve, would not use, off by 6spc",,,
USF,USF4,5/31/23,11:15,stream water,at small trib on mainstem RR; most substantial trib above road identified thus far,35.72101,-105.79793,81,60_mL,0.45,137,1.03,AJW,,shipped to UNH,,,,,2.179559,curve does not reach bg spc levels (by 2.0 spc),,,
USF,USF4,5/31/23,11:15,stream water,at small trib on mainstem RR; most substantial trib above road identified thus far,35.72101,-105.79793,83,60_mL,0.45,137,1.03,AJW,,lab freezer,,,,,2.179559,curve does not reach bg spc levels (by 2.0 spc),,,
USF,USF4,5/31/23,11:15,stream water,at small trib on mainstem RR; most substantial trib above road identified thus far,35.72101,-105.79793,85,60_mL,0.45,137,1.03,AJW,,lab freezer,,,,,2.179559,curve does not reach bg spc levels (by 2.0 spc),,,
USF,USF4,5/31/23,11:15,stream water,at small trib on mainstem RR; most substantial trib above road identified thus far,35.72101,-105.79793,d_81,30_mL_dark,0.45,137,1.03,AJW,,shipped to UNH,,,,,2.179559,curve does not reach bg spc levels (by 2.0 spc),,,
USF,USF4,5/31/23,11:15,stream water,at small trib on mainstem RR; most substantial trib above road identified thus far,35.72101,-105.79793,d_83,30_mL_dark,0.45,137,1.03,AJW,,lab freezer,,,,,2.179559,curve does not reach bg spc levels (by 2.0 spc),,,
USF,USF4,5/31/23,11:15,stream water,at small trib on mainstem RR; most substantial trib above road identified thus far,35.72101,-105.79793,i_81,iso_vial,0.45,137,1.03,AJW,,at CSI,,,,,2.179559,curve does not reach bg spc levels (by 2.0 spc),,,
USF,USF5,5/31/23,12:30,stream water,at mainstem just upstream of USF4,35.72094,-105.79774,26,60_mL,0.45,38,-1.29,AJW,,shipped to UNH,,,,,N/A,"data bad, half of curve is missing",,,
USF,USF5,5/31/23,12:30,stream water,at mainstem just upstream of USF4,35.72094,-105.79774,28,60_mL,0.45,38,-1.29,AJW,,shipped to UNH,,,,,N/A,"data bad, half of curve is missing",,,
USF,USF5,5/31/23,12:30,stream water,at mainstem just upstream of USF4,35.72094,-105.79774,30,60_mL,0.45,38,-1.29,AJW,,lab freezer,,,,,N/A,"data bad, half of curve is missing",,,
