Date,Time,DataID,Temp(C),SPC(uS/cm),COND(uS/cm),TDS(mg/L)
24/05/23,13:03:49,USF7,8.2,56.1,38,36.5
24/05/23,13:03:50,USF7,8.2,56,38,36.4
24/05/23,13:03:51,USF7,8.2,56.1,38,36.5
24/05/23,13:03:52,USF7,8.2,56.1,38.1,36.5
24/05/23,13:03:53,USF7,8.2,56.2,38.1,36.5
24/05/23,13:03:54,USF7,8.2,56.1,38,36.5
24/05/23,13:03:55,USF7,8.2,56.1,38,36.5
24/05/23,13:03:56,USF7,8.2,56,38,36.4
24/05/23,13:03:57,USF7,8.2,56.1,38,36.4
24/05/23,13:03:58,USF7,8.2,56.1,38,36.5
24/05/23,13:03:59,USF7,8.2,56.1,38.1,36.5
24/05/23,13:04:00,USF7,8.2,56.1,38.1,36.5
24/05/23,13:04:01,USF7,8.2,56.1,38.1,36.5
24/05/23,13:04:02,USF7,8.2,56.1,38,36.4
24/05/23,13:04:03,USF7,8.2,56.1,38,36.4
24/05/23,13:04:04,USF7,8.2,56,38,36.4
24/05/23,13:04:05,USF7,8.2,56.1,38,36.5
24/05/23,13:04:06,USF7,8.2,56.1,38.1,36.5
24/05/23,13:04:07,USF7,8.2,56.1,38,36.5
24/05/23,13:04:08,USF7,8.2,56.1,38,36.4
24/05/23,13:04:09,USF7,8.2,56.1,38,36.5
24/05/23,13:04:10,USF7,8.2,56,38,36.4
24/05/23,13:04:11,USF7,8.2,56,38,36.4
24/05/23,13:04:12,USF7,8.2,56.1,38,36.5
24/05/23,13:04:13,USF7,8.2,56.1,38.1,36.5
24/05/23,13:04:14,USF7,8.2,56.1,38,36.4
24/05/23,13:04:15,USF7,8.2,56.1,38,36.4
24/05/23,13:04:16,USF7,8.2,56,38,36.4
24/05/23,13:04:17,USF7,8.2,56,38,36.4
24/05/23,13:04:18,USF7,8.2,56.1,38,36.4
24/05/23,13:04:19,USF7,8.2,56.1,38.1,36.5
24/05/23,13:04:20,USF7,8.2,56.1,38.1,36.5
24/05/23,13:04:21,USF7,8.2,56,38,36.4
24/05/23,13:04:22,USF7,8.2,56,38,36.4
24/05/23,13:04:23,USF7,8.2,56,38,36.4
24/05/23,13:04:24,USF7,8.2,56,38,36.4
24/05/23,13:04:25,USF7,8.2,56.1,38,36.4
24/05/23,13:04:26,USF7,8.2,56.1,38,36.4
24/05/23,13:04:27,USF7,8.2,56.1,38,36.4
24/05/23,13:04:28,USF7,8.2,56,38,36.4
24/05/23,13:04:29,USF7,8.2,56.1,38,36.4
24/05/23,13:04:30,USF7,8.2,56,38,36.4
24/05/23,13:04:31,USF7,8.2,56,38,36.4
24/05/23,13:04:32,USF7,8.2,56.1,38,36.4
24/05/23,13:04:33,USF7,8.2,56.1,38.1,36.5
24/05/23,13:04:34,USF7,8.2,56.1,38,36.4
24/05/23,13:04:35,USF7,8.2,56,38,36.4
24/05/23,13:04:36,USF7,8.2,56,38,36.4
24/05/23,13:04:37,USF7,8.2,56,38,36.4
24/05/23,13:04:38,USF7,8.2,56,38,36.4
24/05/23,13:04:39,USF7,8.2,56.1,38.1,36.5
24/05/23,13:04:40,USF7,8.2,56.1,38,36.4
24/05/23,13:04:41,USF7,8.2,56,38,36.4
24/05/23,13:04:42,USF7,8.2,56,38,36.4
24/05/23,13:04:43,USF7,8.2,56,38,36.4
24/05/23,13:04:44,USF7,8.2,56,38,36.4
24/05/23,13:04:45,USF7,8.2,56,38,36.4
24/05/23,13:04:46,USF7,8.2,56.1,38,36.4
24/05/23,13:04:47,USF7,8.2,56.1,38,36.4
24/05/23,13:04:48,USF7,8.2,56,38,36.4
24/05/23,13:04:49,USF7,8.2,56,38,36.4
24/05/23,13:04:50,USF7,8.2,56,38,36.4
24/05/23,13:04:51,USF7,8.2,56,38,36.4
24/05/23,13:04:52,USF7,8.2,56,38,36.4
24/05/23,13:04:53,USF7,8.2,56.1,38.1,36.5
24/05/23,13:04:54,USF7,8.2,56,38,36.4
24/05/23,13:04:55,USF7,8.2,56,38,36.4
24/05/23,13:04:56,USF7,8.2,56,38,36.4
24/05/23,13:04:57,USF7,8.2,56,38,36.4
24/05/23,13:04:58,USF7,8.2,56,38,36.4
24/05/23,13:04:59,USF7,8.2,56.1,38,36.4
24/05/23,13:05:00,USF7,8.2,56,38,36.4
24/05/23,13:05:01,USF7,8.2,56,38,36.4
24/05/23,13:05:02,USF7,8.2,56,38,36.4
24/05/23,13:05:03,USF7,8.2,56,38,36.4
24/05/23,13:05:04,USF7,8.2,56,38,36.4
24/05/23,13:05:05,USF7,8.2,56,38,36.4
24/05/23,13:05:06,USF7,8.2,56,38,36.4
24/05/23,13:05:07,USF7,8.2,56,38,36.4
24/05/23,13:05:08,USF7,8.2,56,38,36.4
24/05/23,13:05:09,USF7,8.2,56,38,36.4
24/05/23,13:05:10,USF7,8.2,56,38,36.4
24/05/23,13:05:11,USF7,8.2,56,38,36.4
24/05/23,13:05:12,USF7,8.2,56,38,36.4
24/05/23,13:05:13,USF7,8.2,56.1,38,36.4
24/05/23,13:05:14,USF7,8.2,56,38,36.4
24/05/23,13:05:15,USF7,8.2,56,38,36.4
24/05/23,13:05:16,USF7,8.2,55.9,38,36.4
24/05/23,13:05:17,USF7,8.2,56,38,36.4
24/05/23,13:05:18,USF7,8.2,56,38,36.4
24/05/23,13:05:19,USF7,8.2,56.1,38,36.4
24/05/23,13:05:20,USF7,8.2,56,38,36.4
24/05/23,13:05:21,USF7,8.2,56,38,36.4
24/05/23,13:05:22,USF7,8.2,55.9,38,36.4
24/05/23,13:05:23,USF7,8.2,56,38,36.4
24/05/23,13:05:24,USF7,8.2,56,38,36.4
24/05/23,13:05:25,USF7,8.2,56,38,36.4
24/05/23,13:05:26,USF7,8.2,56,38,36.4
24/05/23,13:05:27,USF7,8.2,56,38,36.4
24/05/23,13:05:28,USF7,8.2,56,38,36.4
24/05/23,13:05:29,USF7,8.2,56,38,36.4
24/05/23,13:05:30,USF7,8.2,56,38,36.4
24/05/23,13:05:31,USF7,8.2,56,38,36.4
24/05/23,13:05:32,USF7,8.2,56,38,36.4
24/05/23,13:05:33,USF7,8.2,56,38,36.4
24/05/23,13:05:34,USF7,8.2,56,38,36.4
24/05/23,13:05:35,USF7,8.2,56,38,36.4
24/05/23,13:05:36,USF7,8.2,55.9,38,36.3
24/05/23,13:05:37,USF7,8.2,56,38,36.4
24/05/23,13:05:38,USF7,8.2,56,38,36.4
24/05/23,13:05:39,USF7,8.2,56,38,36.4
24/05/23,13:05:40,USF7,8.2,56,38,36.4
24/05/23,13:05:41,USF7,8.2,56,38,36.4
24/05/23,13:05:42,USF7,8.2,55.9,38,36.4
24/05/23,13:05:43,USF7,8.2,56,38,36.4
