Date,Time,DataID,Temp(C),SPC(uS/cm),COND(uS/cm),Level(m)
24/05/24,9:10:34,USF24,14.704,83.49284707,66.3,7.7683
24/05/24,9:10:36,USF24,14.033,106.1921963,82.9,7.7658
24/05/24,9:10:38,USF24,13.684,153.8103609,119,7.7671
24/05/24,9:10:40,USF24,13.384,175.3334723,134.6,7.7679
24/05/24,9:10:42,USF24,13.136,183.9469268,140.3,7.7703
24/05/24,9:10:44,USF24,12.919,183.4172842,139.1,7.7716
24/05/24,9:10:46,USF24,12.719,139.849943,105.5,7.7722
24/05/24,9:10:48,USF24,12.531,136.6870054,102.6,7.7733
24/05/24,9:10:50,USF24,12.311,141.9152529,105.9,7.7737
24/05/24,9:10:52,USF24,12.121,127.5558309,94.7,7.7734
24/05/24,9:10:54,USF24,11.976,122.2414539,90.4,7.7732
24/05/24,9:10:56,USF24,11.831,120.5506231,88.8,7.7732
24/05/24,9:10:58,USF24,11.684,113.6735361,83.4,7.7734
24/05/24,9:11:00,USF24,11.522,97.47549422,71.2,7.7734
24/05/24,9:11:02,USF24,11.351,83.7666089,60.9,7.7745
24/05/24,9:11:04,USF24,11.19,86.34982039,62.5,7.7756
24/05/24,9:11:06,USF24,11.037,83.80275828,60.4,7.7757
24/05/24,9:11:08,USF24,10.883,77.33467101,55.5,7.7754
24/05/24,9:11:10,USF24,10.728,70.53291536,50.4,7.7753
24/05/24,9:11:12,USF24,10.585,64.21244907,45.7,7.7754
24/05/24,9:11:14,USF24,10.456,62.61281588,44.4,7.7754
24/05/24,9:11:16,USF24,10.343,64.08624056,45.3,7.7758
24/05/24,9:11:18,USF24,10.227,67.13600363,47.3,7.7761
24/05/24,9:11:20,USF24,10.113,61.08848575,42.9,7.7764
24/05/24,9:11:22,USF24,9.992,62.72862369,43.9,7.7765
24/05/24,9:11:24,USF24,9.879,62.93185011,43.9,7.7773
24/05/24,9:11:26,USF24,9.773,61.54200098,42.8,7.7775
24/05/24,9:11:28,USF24,9.67,58.2636285,40.4,7.7774
24/05/24,9:11:30,USF24,9.568,54.67484379,37.8,7.7774
24/05/24,9:11:32,USF24,9.468,52.22235117,36,7.7773
24/05/24,9:11:34,USF24,9.368,50.04655493,34.4,7.7774
24/05/24,9:11:36,USF24,9.262,49.61765221,34,7.7773
24/05/24,9:11:38,USF24,9.16,48.30210773,33,7.7772
24/05/24,9:11:40,USF24,9.057,48.88862789,33.3,7.7771
24/05/24,9:11:42,USF24,8.962,48.43648784,32.9,7.777
24/05/24,9:11:44,USF24,8.871,47.82852588,32.4,7.7769
24/05/24,9:11:46,USF24,8.785,46.76631641,31.6,7.7769
24/05/24,9:11:48,USF24,8.702,46.28805412,31.2,7.777
24/05/24,9:11:50,USF24,8.622,45.6546309,30.7,7.7769
24/05/24,9:11:52,USF24,8.545,45.01416008,30.2,7.7769
24/05/24,9:11:54,USF24,8.469,44.2200245,29.6,7.7768
24/05/24,9:11:56,USF24,8.398,43.71519253,29.2,7.7767
24/05/24,9:11:58,USF24,8.329,45.15587026,30.1,7.7768
24/05/24,9:12:00,USF24,8.257,44.2012208,29.4,7.7767
24/05/24,9:12:02,USF24,8.189,43.83982645,29.1,7.7763
24/05/24,9:12:04,USF24,8.122,43.02276433,28.5,7.7764
24/05/24,9:12:06,USF24,8.064,43.09823373,28.5,7.7763
24/05/24,9:12:08,USF24,8.005,42.87229208,28.3,7.7764
24/05/24,9:12:10,USF24,7.945,42.64683564,28.1,7.7763
24/05/24,9:12:12,USF24,7.89,42.71815141,28.1,7.7762
24/05/24,9:12:14,USF24,7.835,42.3328765,27.8,7.7761
24/05/24,9:12:16,USF24,7.779,42.40519845,27.8,7.7761
