Date,Time,DataID,Temp(C),SPC(uS/cm),COND(uS/cm),Level(m)
24/05/24,9:54:16,USF25,20.644,23.66137937,21.6,7.7167
24/05/24,9:54:18,USF25,19.528,46.93675889,41.8,7.6846
24/05/24,9:54:20,USF25,18.96,50.95541401,44.8,7.6781
24/05/24,9:54:22,USF25,18.806,53.18906086,46.6,7.6772
24/05/24,9:54:24,USF25,18.727,55.11468887,48.2,7.6784
24/05/24,9:54:26,USF25,18.659,56.6893424,49.5,7.68
24/05/24,9:54:28,USF25,18.532,45.71349812,39.8,7.778
24/05/24,9:54:30,USF25,17.774,45.58844158,39,7.7862
24/05/24,9:54:32,USF25,17.229,47.83442658,40.4,7.7833
24/05/24,9:54:34,USF25,16.901,48.68618887,40.8,7.7827
24/05/24,9:54:36,USF25,16.602,49.27647709,41,7.7829
24/05/24,9:54:38,USF25,16.378,50.63076997,41.9,7.7845
24/05/24,9:54:40,USF25,16.159,51.87200855,42.7,7.7866
24/05/24,9:54:42,USF25,15.907,51.58041411,42.2,7.7882
24/05/24,9:54:44,USF25,15.686,51.98348326,42.3,7.7899
24/05/24,9:54:46,USF25,15.491,52.97473513,42.9,7.7918
24/05/24,9:54:48,USF25,15.254,52.91399612,42.6,7.7933
24/05/24,9:54:50,USF25,15.051,54.18091933,43.4,7.7948
24/05/24,9:54:52,USF25,14.875,53.9184953,43,7.7967
24/05/24,9:54:54,USF25,14.69,55.17762661,43.8,7.7985
24/05/24,9:54:56,USF25,14.475,55.35148828,43.7,7.8001
24/05/24,9:54:58,USF25,14.29,55.10307966,43.3,7.8016
24/05/24,9:55:00,USF25,14.112,56.63223563,44.3,7.8031
24/05/24,9:55:02,USF25,13.908,56.41513313,43.9,7.8028
24/05/24,9:55:04,USF25,13.758,55.85943547,43.3,7.8046
24/05/24,9:55:06,USF25,13.617,55.93391512,43.2,7.8057
24/05/24,9:55:08,USF25,13.442,57.35913844,44.1,7.8068
24/05/24,9:55:10,USF25,13.288,58.24279148,44.6,7.8079
24/05/24,9:55:12,USF25,13.129,58.22339951,44.4,7.8089
24/05/24,9:55:14,USF25,12.964,58.21304394,44.2,7.8097
24/05/24,9:55:16,USF25,12.796,58.73637422,44.4,7.8105
24/05/24,9:55:18,USF25,12.607,58.63270136,44.1,7.81
