Date,Time,DataID,Temp(C),SPC(uS/cm),COND(uS/cm),Level(m)
24/05/24,10:38:12,USF26,23.048,48.5972361,46.7,7.6396
24/05/24,10:38:14,USF26,22.005,51.59025636,48.5,7.6595
24/05/24,10:38:16,USF26,20.968,52.7540898,48.5,7.6338
24/05/24,10:38:18,USF26,20.442,53.14466793,48.3,7.635
24/05/24,10:38:20,USF26,19.994,53.45157132,48.1,7.6359
24/05/24,10:38:22,USF26,19.566,53.51613338,47.7,7.6365
24/05/24,10:38:24,USF26,19.168,53.7719616,47.5,7.6377
24/05/24,10:38:26,USF26,18.801,53.65174311,47,7.6393
24/05/24,10:38:28,USF26,18.455,53.618686,46.6,7.6409
24/05/24,10:38:30,USF26,18.131,53.55776588,46.2,7.6425
24/05/24,10:38:32,USF26,17.821,53.47843348,45.8,7.6442
24/05/24,10:38:34,USF26,17.525,53.49794239,45.5,7.646
24/05/24,10:38:36,USF26,17.233,53.63104681,45.3,7.6479
24/05/24,10:38:38,USF26,16.956,53.74678234,45.1,7.6496
24/05/24,10:38:40,USF26,16.693,54.08581776,45.1,7.6515
24/05/24,10:38:42,USF26,16.434,54.30322923,45,7.6534
24/05/24,10:38:44,USF26,16.184,54.51146076,44.9,7.6551
24/05/24,10:38:46,USF26,15.937,54.71822557,44.8,7.6564
24/05/24,10:38:48,USF26,15.698,54.91670352,44.7,7.6577
24/05/24,10:38:50,USF26,15.464,55.23428233,44.7,7.6593
24/05/24,10:38:52,USF26,15.237,55.5458906,44.7,7.6604
24/05/24,10:38:54,USF26,15.014,55.85545059,44.7,7.6615
24/05/24,10:38:56,USF26,14.798,56.15860093,44.7,7.6625
24/05/24,10:38:58,USF26,14.583,56.33731652,44.6,7.6629
24/05/24,10:39:00,USF26,14.374,56.50937167,44.5,7.6633
24/05/24,10:39:02,USF26,14.171,56.80222614,44.5,7.6638
24/05/24,10:39:04,USF26,13.972,57.09227137,44.5,7.6642
24/05/24,10:39:06,USF26,13.779,57.24747931,44.4,7.665
24/05/24,10:39:08,USF26,13.588,57.5308386,44.4,7.6653
24/05/24,10:39:10,USF26,13.403,57.93818191,44.5,7.6657
24/05/24,10:39:12,USF26,13.218,57.82615521,44.2,7.6662
24/05/24,10:39:14,USF26,13.04,58.09674027,44.2,7.6666
24/05/24,10:39:16,USF26,12.868,58.3606211,44.2,7.6676
24/05/24,10:39:18,USF26,12.701,58.61913477,44.2,7.668
24/05/24,10:39:20,USF26,12.532,59.14952574,44.4,7.6707
24/05/24,10:39:22,USF26,12.319,59.62110453,44.5,7.6692
24/05/24,10:39:24,USF26,12.145,59.76578274,44.4,7.6668
24/05/24,10:39:26,USF26,11.994,60.00973131,44.4,7.667
24/05/24,10:39:28,USF26,11.852,60.10528601,44.3,7.6673
24/05/24,10:39:30,USF26,11.723,60.4525774,44.4,7.668
24/05/24,10:39:32,USF26,11.595,60.52739445,44.3,7.6681
24/05/24,10:39:34,USF26,11.465,60.88029617,44.4,7.6686
24/05/24,10:39:36,USF26,11.336,61.09643329,44.4,7.6691
24/05/24,10:39:38,USF26,11.205,61.31749758,44.4,7.6685
24/05/24,10:39:40,USF26,11.077,61.53505003,44.4,7.6687
24/05/24,10:39:42,USF26,10.955,61.74384647,44.4,7.6689
24/05/24,10:39:44,USF26,10.836,61.94887822,44.4,7.6683
24/05/24,10:39:46,USF26,10.723,62.14483666,44.4,7.6683
24/05/24,10:39:48,USF26,10.612,62.33853757,44.4,7.6683
24/05/24,10:39:50,USF26,10.505,62.52640473,44.4,7.6679
24/05/24,10:39:52,USF26,10.401,62.71009294,44.4,7.6678
24/05/24,10:39:54,USF26,10.303,62.88417415,44.4,7.6679
24/05/24,10:39:56,USF26,10.205,63.05922454,44.4,7.6676
24/05/24,10:39:58,USF26,10.114,63.08025289,44.3,7.6675
24/05/24,10:40:00,USF26,10.025,63.24054247,44.3,7.6674
24/05/24,10:40:02,USF26,9.941,63.39257606,44.3,7.667
24/05/24,10:40:04,USF26,9.858,63.54351942,44.3,7.6671
24/05/24,10:40:06,USF26,9.774,63.69701501,44.3,7.667
24/05/24,10:40:08,USF26,9.695,63.84205217,44.3,7.6667
24/05/24,10:40:10,USF26,9.619,63.9822063,44.3,7.6666
24/05/24,10:40:12,USF26,9.547,64.11555273,44.3,7.6663
24/05/24,10:40:14,USF26,9.474,64.25131984,44.3,7.6661
24/05/24,10:40:16,USF26,9.406,64.37830611,44.3,7.666
24/05/24,10:40:18,USF26,9.338,64.50579533,44.3,7.6657
24/05/24,10:40:20,USF26,9.271,64.63190453,44.3,7.6654
24/05/24,10:40:22,USF26,9.209,64.74904265,44.3,7.6652
24/05/24,10:40:24,USF26,9.147,64.86660614,44.3,7.665
24/05/24,10:40:26,USF26,9.088,64.9788782,44.3,7.665
24/05/24,10:40:28,USF26,9.031,65.08771414,44.3,7.6646
24/05/24,10:40:30,USF26,8.977,65.19115873,44.3,7.6644
24/05/24,10:40:32,USF26,8.924,65.2930079,44.3,7.6644
24/05/24,10:40:34,USF26,8.872,65.39324516,44.3,7.6641
24/05/24,10:40:36,USF26,8.822,65.4899178,44.3,7.6638
24/05/24,10:40:38,USF26,8.773,65.58493471,44.3,7.6636
24/05/24,10:40:40,USF26,8.726,65.6763328,44.3,7.6634
24/05/24,10:40:42,USF26,8.681,65.76408064,44.3,7.6633
24/05/24,10:40:44,USF26,8.639,65.84619043,44.3,7.663
24/05/24,10:40:46,USF26,8.599,65.92458109,44.3,7.6629
24/05/24,10:40:48,USF26,8.558,66.00512545,44.3,7.6626
24/05/24,10:40:50,USF26,8.52,66.07995227,44.3,7.6626
24/05/24,10:40:52,USF26,8.481,66.15692482,44.3,7.6624
24/05/24,10:40:54,USF26,8.446,66.22615559,44.3,7.6623
24/05/24,10:40:56,USF26,8.41,66.29751571,44.3,7.6623
24/05/24,10:40:58,USF26,8.374,66.36902978,44.3,7.6622
24/05/24,10:41:00,USF26,8.343,66.43073509,44.3,7.6619
24/05/24,10:41:02,USF26,8.312,66.49255524,44.3,7.662
24/05/24,10:41:04,USF26,8.281,66.55449055,44.3,7.6618
24/05/24,10:41:06,USF26,8.251,66.61453791,44.3,7.6617
24/05/24,10:41:08,USF26,8.221,66.67469372,44.3,7.6615
24/05/24,10:41:10,USF26,8.196,66.72490662,44.3,7.6612
24/05/24,10:41:12,USF26,8.17,66.77720832,44.3,7.6613
24/05/24,10:41:14,USF26,8.143,66.83160848,44.3,7.6611
24/05/24,10:41:16,USF26,8.119,66.88003865,44.3,7.6609
24/05/24,10:41:18,USF26,8.095,66.92853905,44.3,7.6608
24/05/24,10:41:20,USF26,8.072,66.97508466,44.3,7.6607
24/05/24,10:41:22,USF26,8.05,67.01966717,44.3,7.6606
24/05/24,10:41:24,USF26,8.028,67.06430907,44.3,7.6603
24/05/24,10:41:26,USF26,8.009,67.10291133,44.3,7.6604
24/05/24,10:41:28,USF26,7.989,67.14359332,44.3,7.6604
24/05/24,10:41:30,USF26,7.969,67.18432467,44.3,7.6601
24/05/24,10:41:32,USF26,7.951,67.22102516,44.3,7.6602
24/05/24,10:41:34,USF26,7.932,67.25980809,44.3,7.6602
24/05/24,10:41:36,USF26,7.916,67.29250213,44.3,7.6604
24/05/24,10:41:38,USF26,7.899,67.32727439,44.3,7.6603
24/05/24,10:41:40,USF26,7.884,67.35798565,44.3,7.6604
24/05/24,10:41:42,USF26,7.869,67.38872494,44.3,7.6604
24/05/24,10:41:44,USF26,7.852,67.42359674,44.3,7.6604
24/05/24,10:41:46,USF26,7.838,67.4523418,44.3,7.6604
24/05/24,10:41:48,USF26,7.824,67.48111138,44.3,7.6604
24/05/24,10:41:50,USF26,7.812,67.50579056,44.3,7.6602
24/05/24,10:41:52,USF26,7.799,67.53254672,44.3,7.6601
24/05/24,10:41:54,USF26,7.786,67.5593241,44.3,7.6599
24/05/24,10:41:56,USF26,7.775,67.58199847,44.3,7.66
24/05/24,10:41:58,USF26,7.764,67.60468807,44.3,7.66
24/05/24,10:42:00,USF26,7.752,67.62945774,44.3,7.66
24/05/24,10:42:02,USF26,7.742,67.650113,44.3,7.6602
24/05/24,10:42:04,USF26,7.731,67.67284837,44.3,7.6602
24/05/24,10:42:06,USF26,7.721,67.69353015,44.3,7.6603
24/05/24,10:42:08,USF26,7.713,67.71008468,44.3,7.6603
24/05/24,10:42:10,USF26,7.702,67.73286038,44.3,7.6603
24/05/24,10:42:12,USF26,7.694,67.74943415,44.3,7.6603
24/05/24,10:42:14,USF26,7.684,67.77016277,44.3,7.6601
24/05/24,10:42:16,USF26,7.675,67.78882938,44.3,7.6601
24/05/24,10:42:18,USF26,7.666,67.80750628,44.3,7.66
24/05/24,10:42:20,USF26,7.659,67.82203987,44.3,7.66
24/05/24,10:42:22,USF26,7.652,67.83657969,44.3,7.6601
24/05/24,10:42:24,USF26,7.643,67.85528291,44.3,7.66
24/05/24,10:42:26,USF26,7.639,67.86359876,44.3,7.66
24/05/24,10:42:28,USF26,7.631,67.88023658,44.3,7.6601
24/05/24,10:42:30,USF26,7.625,67.89272031,44.3,7.66
24/05/24,10:42:32,USF26,7.618,67.90729045,44.3,7.66
24/05/24,10:42:34,USF26,7.608,67.9281158,44.3,7.6597
24/05/24,10:42:36,USF26,7.604,67.93644952,44.3,7.66
24/05/24,10:42:38,USF26,7.601,67.94270114,44.3,7.6597
24/05/24,10:42:40,USF26,7.596,67.95312308,44.3,7.6598
24/05/24,10:42:42,USF26,7.589,67.96771917,44.3,7.6599
24/05/24,10:42:44,USF26,7.582,67.98232153,44.3,7.6599
24/05/24,10:42:46,USF26,7.58,67.98649478,44.3,7.6597
24/05/24,10:42:48,USF26,7.574,67.99901762,44.3,7.6595
24/05/24,10:42:50,USF26,7.569,68.00945685,44.3,7.6595
24/05/24,10:42:52,USF26,7.564,68.01989928,44.3,7.6596
24/05/24,10:42:54,USF26,7.561,68.02616627,44.3,7.6592
24/05/24,10:42:56,USF26,7.555,68.19228997,44.4,7.6594
24/05/24,10:42:58,USF26,7.552,68.0449742,44.3,7.6593
24/05/24,10:43:00,USF26,7.547,68.05542754,44.3,7.6596
24/05/24,10:43:02,USF26,7.547,68.05542754,44.3,7.6596
24/05/24,10:43:04,USF26,7.541,68.06797578,44.3,7.6595
24/05/24,10:43:06,USF26,7.537,68.23001506,44.4,7.6596
24/05/24,10:43:08,USF26,7.534,68.08262126,44.3,7.6595
24/05/24,10:43:10,USF26,7.53,68.09099293,44.3,7.6597
24/05/24,10:43:12,USF26,7.527,68.09727303,44.3,7.6598
24/05/24,10:43:14,USF26,7.524,68.1035543,44.3,7.6599
24/05/24,10:43:16,USF26,7.521,68.10983672,44.3,7.6599
24/05/24,10:43:18,USF26,7.517,68.11821509,44.3,7.66
24/05/24,10:43:20,USF26,7.518,68.1161203,44.3,7.66
24/05/24,10:43:22,USF26,7.515,68.12240504,44.3,7.6602
24/05/24,10:43:24,USF26,7.51,68.13288219,44.3,7.66
24/05/24,10:43:26,USF26,7.51,68.13288219,44.3,7.6603
24/05/24,10:43:28,USF26,7.506,68.14126623,44.3,7.6605
24/05/24,10:43:30,USF26,7.505,68.14336256,44.3,7.6603
24/05/24,10:43:32,USF26,7.504,68.14545902,44.3,7.6604
24/05/24,10:43:34,USF26,7.503,68.14755561,44.3,7.6604
24/05/24,10:43:36,USF26,7.5,68.15384615,44.3,7.6603
24/05/24,10:43:38,USF26,7.497,68.16013786,44.3,7.6604
24/05/24,10:43:40,USF26,7.495,68.16433297,44.3,7.6606
24/05/24,10:43:42,USF26,7.494,68.16643073,44.3,7.6606
24/05/24,10:43:44,USF26,7.491,68.17272475,44.3,7.6605
24/05/24,10:43:46,USF26,7.491,68.17272475,44.3,7.6606
24/05/24,10:43:48,USF26,7.488,68.17901995,44.3,7.6606
24/05/24,10:43:50,USF26,7.486,68.18321739,44.3,7.6606
24/05/24,10:43:52,USF26,7.486,68.18321739,44.3,7.6605
24/05/24,10:43:54,USF26,7.483,68.18951452,44.3,7.6607
24/05/24,10:43:56,USF26,7.483,68.18951452,44.3,7.6608
24/05/24,10:43:58,USF26,7.48,68.19581281,44.3,7.6605
24/05/24,10:44:00,USF26,7.481,68.19371325,44.3,7.6605
24/05/24,10:44:02,USF26,7.48,68.19581281,44.3,7.6601
24/05/24,10:44:04,USF26,7.477,68.20211226,44.3,7.66
24/05/24,10:44:06,USF26,7.477,68.20211226,44.3,7.6603
24/05/24,10:44:08,USF26,7.476,68.20421234,44.3,7.6602
24/05/24,10:44:10,USF26,7.476,68.20421234,44.3,7.6603
24/05/24,10:44:12,USF26,7.474,68.20841288,44.3,7.6603
24/05/24,10:44:14,USF26,7.472,68.21261394,44.3,7.6602
24/05/24,10:44:16,USF26,7.471,68.21471467,44.3,7.6603
24/05/24,10:44:18,USF26,7.47,68.21681552,44.3,7.6603
24/05/24,10:44:20,USF26,7.47,68.21681552,44.3,7.6603
24/05/24,10:44:22,USF26,7.469,68.2189165,44.3,7.6605
24/05/24,10:44:24,USF26,7.469,68.2189165,44.3,7.6603
24/05/24,10:44:26,USF26,7.468,68.22101762,44.3,7.6605
24/05/24,10:44:28,USF26,7.469,68.2189165,44.3,7.6604
24/05/24,10:44:30,USF26,7.468,68.22101762,44.3,7.6603
24/05/24,10:44:32,USF26,7.464,68.22942336,44.3,7.6603
24/05/24,10:44:34,USF26,7.466,68.3792275,44.4,7.6604
24/05/24,10:44:36,USF26,7.466,68.3792275,44.4,7.6603
24/05/24,10:44:38,USF26,7.464,68.38344012,44.4,7.6603
24/05/24,10:44:40,USF26,7.463,68.23152512,44.3,7.6604
24/05/24,10:44:42,USF26,7.464,68.22942336,44.3,7.6602
24/05/24,10:44:44,USF26,7.463,68.23152512,44.3,7.66
24/05/24,10:44:46,USF26,7.461,68.38976002,44.4,7.6601
24/05/24,10:44:48,USF26,7.46,68.39186691,44.4,7.66
24/05/24,10:44:50,USF26,7.463,68.23152512,44.3,7.6602
24/05/24,10:44:52,USF26,7.46,68.23783118,44.3,7.66
24/05/24,10:44:54,USF26,7.46,68.39186691,44.4,7.6601
