Date,Time,DataID,Temp(C),DO(%),DO(mg/L),DO(ppm),SPC(uS/cm),COND(uS/cm),TDS(mg/L)
24/05/23,13:31:28,USF20,6.1,85.6,10.63,10.63,30.4,19.4,19.7
24/05/23,13:31:29,USF20,6.1,85.3,10.59,10.59,30.4,19.4,19.7
24/05/23,13:31:30,USF20,6.1,85.3,10.6,10.6,30.4,19.4,19.7
24/05/23,13:31:31,USF20,6.1,85.5,10.63,10.63,30.4,19.4,19.8
24/05/23,13:31:32,USF20,6.1,85.6,10.63,10.63,30.4,19.4,19.8
24/05/23,13:31:33,USF20,6.1,85.5,10.62,10.62,30.4,19.4,19.7
24/05/23,13:31:34,USF20,6.1,85.5,10.62,10.62,30.4,19.4,19.7
24/05/23,13:31:35,USF20,6.1,85.3,10.6,10.6,30.3,19.4,19.7
24/05/23,13:31:36,USF20,6.1,85.3,10.59,10.59,30.3,19.4,19.7
24/05/23,13:31:37,USF20,6.1,85.4,10.61,10.61,30.3,19.4,19.7
24/05/23,13:31:38,USF20,6.1,85.1,10.58,10.58,30.3,19.4,19.7
24/05/23,13:31:39,USF20,6.1,84.7,10.52,10.52,30.4,19.4,19.7
24/05/23,13:31:40,USF20,6.1,84.5,10.5,10.5,30.4,19.4,19.7
24/05/23,13:31:41,USF20,6.1,84.7,10.52,10.52,30.4,19.4,19.7
24/05/23,13:31:42,USF20,6.1,84.5,10.5,10.5,30.3,19.4,19.7
24/05/23,13:31:43,USF20,6.1,84.4,10.48,10.48,30.3,19.4,19.7
24/05/23,13:31:44,USF20,6.1,84.4,10.48,10.48,30.4,19.4,19.8
24/05/23,13:31:45,USF20,6.1,84,10.43,10.43,30.4,19.4,19.8
24/05/23,13:31:46,USF20,6.1,83.8,10.4,10.4,30.4,19.4,19.7
24/05/23,13:31:47,USF20,6.1,83.6,10.39,10.39,30.4,19.4,19.7
24/05/23,13:31:48,USF20,6.1,83.6,10.38,10.38,30.4,19.4,19.7
24/05/23,13:31:49,USF20,6.1,83.6,10.38,10.38,30.3,19.4,19.7
24/05/23,13:31:50,USF20,6.1,83.7,10.4,10.4,30.3,19.4,19.7
24/05/23,13:31:51,USF20,6.1,83.7,10.39,10.39,30.4,19.4,19.7
24/05/23,13:31:52,USF20,6.1,83.8,10.41,10.41,30.3,19.3,19.7
24/05/23,13:31:53,USF20,6.1,83.7,10.4,10.4,30.3,19.4,19.7
24/05/23,13:31:54,USF20,6.1,83.6,10.38,10.38,30.3,19.4,19.7
24/05/23,13:31:55,USF20,6.1,83.5,10.38,10.38,30.3,19.4,19.7
24/05/23,13:31:56,USF20,6.1,83.3,10.35,10.35,30.3,19.3,19.7
24/05/23,13:31:57,USF20,6.1,83.4,10.36,10.36,30.3,19.4,19.7
24/05/23,13:31:58,USF20,6.1,83.5,10.37,10.37,30.3,19.3,19.7
24/05/23,13:31:59,USF20,6.1,83.4,10.36,10.36,30.3,19.3,19.7
24/05/23,13:32:00,USF20,6.1,83.3,10.34,10.34,30.3,19.4,19.7
24/05/23,13:32:01,USF20,6.1,83.1,10.32,10.32,30.3,19.4,19.7
24/05/23,13:32:02,USF20,6.1,82.9,10.3,10.3,30.4,19.4,19.8
24/05/23,13:32:03,USF20,6.1,82.9,10.29,10.29,30.4,19.4,19.7
24/05/23,13:32:04,USF20,6.1,82.8,10.29,10.29,30.2,19.3,19.6
24/05/23,13:32:05,USF20,6.1,82.8,10.28,10.28,30.3,19.3,19.7
24/05/23,13:32:06,USF20,6.1,82.7,10.28,10.28,30.3,19.4,19.7
24/05/23,13:32:07,USF20,6.1,82.7,10.27,10.27,30.3,19.4,19.7
24/05/23,13:32:08,USF20,6.1,82.5,10.25,10.25,30.2,19.3,19.7
24/05/23,13:32:09,USF20,6.1,82.5,10.25,10.25,30.3,19.3,19.7
24/05/23,13:32:10,USF20,6.1,82.6,10.26,10.26,30.3,19.4,19.7
24/05/23,13:32:11,USF20,6.1,82.6,10.25,10.25,30.3,19.4,19.7
24/05/23,13:32:12,USF20,6.1,82.4,10.24,10.24,30.3,19.4,19.7
24/05/23,13:32:13,USF20,6.1,82.3,10.22,10.22,30.3,19.4,19.7
24/05/23,13:32:14,USF20,6.1,82,10.19,10.19,30.3,19.3,19.7
24/05/23,13:32:15,USF20,6.1,81.8,10.16,10.16,30.3,19.4,19.7
24/05/23,13:32:16,USF20,6.1,81.8,10.15,10.15,30.3,19.4,19.7
24/05/23,13:32:17,USF20,6.1,81.8,10.15,10.15,30.4,19.4,19.8
24/05/23,13:32:18,USF20,6.1,81.8,10.16,10.16,30.3,19.3,19.7
24/05/23,13:32:19,USF20,6.1,81.9,10.17,10.17,30.3,19.4,19.7
24/05/23,13:32:20,USF20,6.1,82,10.18,10.18,30.3,19.3,19.7
24/05/23,13:32:21,USF20,6.1,81.9,10.17,10.17,30.3,19.3,19.7
24/05/23,13:32:22,USF20,6.1,81.9,10.17,10.17,30.3,19.3,19.7
24/05/23,13:32:23,USF20,6.1,81.7,10.14,10.14,30.3,19.4,19.7
