"Plot Title: Yellow"
"#","Date Time, GMT-06:00","Low Range, μS/cm (LGR S/N: 20414842, SEN S/N: 20414842)","Temp, °C (LGR S/N: 20414842, SEN S/N: 20414842)"
1,08/23/18 03:00:00 AM,0.6,24.53
2,08/23/18 03:01:00 AM,0.6,24.55
3,08/23/18 03:02:00 AM,0.6,24.55
4,08/23/18 03:03:00 AM,0.5,24.55
5,08/23/18 03:04:00 AM,0.5,24.55
6,08/23/18 03:05:00 AM,0.5,24.55
7,08/23/18 03:06:00 AM,0.5,24.55
8,08/23/18 03:07:00 AM,0.6,24.55
9,08/23/18 03:08:00 AM,0.5,24.55
10,08/23/18 03:09:00 AM,-0.1,24.55
11,08/23/18 03:10:00 AM,0.5,24.56
12,08/23/18 03:11:00 AM,0.5,24.55
13,08/23/18 03:12:00 AM,-0.1,24.56
14,08/23/18 03:13:00 AM,2.1,24.56
15,08/23/18 03:14:00 AM,2.1,24.56
16,08/23/18 03:15:00 AM,0.5,24.56
17,08/23/18 03:16:00 AM,0.6,24.56
18,08/23/18 03:17:00 AM,0.5,24.56
19,08/23/18 03:18:00 AM,2.1,24.56
20,08/23/18 03:19:00 AM,0.5,24.56
21,08/23/18 03:20:00 AM,-0.1,24.56
22,08/23/18 03:21:00 AM,0.5,24.56
23,08/23/18 03:22:00 AM,0.5,24.56
24,08/23/18 03:23:00 AM,0.5,24.57
25,08/23/18 03:24:00 AM,0.5,24.56
26,08/23/18 03:25:00 AM,0.5,24.56
27,08/23/18 03:26:00 AM,0.5,24.57
28,08/23/18 03:27:00 AM,0.5,24.56
29,08/23/18 03:28:00 AM,-0.1,24.57
30,08/23/18 03:29:00 AM,0.5,24.57
31,08/23/18 03:30:00 AM,0.6,24.57
32,08/23/18 03:31:00 AM,0.5,24.57
33,08/23/18 03:32:00 AM,0.5,24.57
34,08/23/18 03:33:00 AM,0.5,24.57
35,08/23/18 03:34:00 AM,0.5,24.57
36,08/23/18 03:35:00 AM,0.5,24.57
37,08/23/18 03:36:00 AM,0.6,24.57
38,08/23/18 03:37:00 AM,0.5,24.57
39,08/23/18 03:38:00 AM,2.1,24.57
40,08/23/18 03:39:00 AM,0.5,24.57
41,08/23/18 03:40:00 AM,-0.1,24.57
42,08/23/18 03:41:00 AM,0.5,24.57
43,08/23/18 03:42:00 AM,1.8,24.58
44,08/23/18 03:43:00 AM,0.5,24.58
45,08/23/18 03:44:00 AM,0.5,24.57
46,08/23/18 03:45:00 AM,0.1,24.57
47,08/23/18 03:46:00 AM,0.5,24.58
48,08/23/18 03:47:00 AM,0.5,24.58
49,08/23/18 03:48:00 AM,0.5,24.58
50,08/23/18 03:49:00 AM,0.5,24.58
51,08/23/18 03:50:00 AM,0.5,24.58
52,08/23/18 03:51:00 AM,0.5,24.58
53,08/23/18 03:52:00 AM,0.5,24.57
54,08/23/18 03:53:00 AM,0.5,24.58
55,08/23/18 03:54:00 AM,0.5,24.58
56,08/23/18 03:55:00 AM,0.6,24.58
57,08/23/18 03:56:00 AM,0.5,24.58
58,08/23/18 03:57:00 AM,0.5,24.58
59,08/23/18 03:58:00 AM,0.5,24.58
60,08/23/18 03:59:00 AM,0.5,24.58
61,08/23/18 04:00:00 AM,0.5,24.58
62,08/23/18 04:01:00 AM,0.6,24.58
63,08/23/18 04:02:00 AM,0.5,24.58
64,08/23/18 04:03:00 AM,0.5,24.58
65,08/23/18 04:04:00 AM,0.5,24.58
66,08/23/18 04:05:00 AM,0.5,24.58
67,08/23/18 04:06:00 AM,-0.1,24.58
