"Plot Title: Pink"
"#","Date Time, GMT-06:00","Low Range, μS/cm (LGR S/N: 20414841, SEN S/N: 20414841)","Temp, °C (LGR S/N: 20414841, SEN S/N: 20414841)"
1,08/31/18 06:50:00 AM,1.0,10.10
2,08/31/18 06:51:00 AM,1.0,10.39
3,08/31/18 06:52:00 AM,1.0,10.74
4,08/31/18 06:53:00 AM,1.0,11.32
5,08/31/18 06:54:00 AM,187.3,7.92
6,08/31/18 06:55:00 AM,187.4,7.88
7,08/31/18 06:56:00 AM,186.7,7.76
8,08/31/18 06:57:00 AM,186.6,7.74
9,08/31/18 06:58:00 AM,186.6,7.75
10,08/31/18 06:59:00 AM,186.5,7.74
11,08/31/18 07:00:00 AM,186.4,7.74
12,08/31/18 07:01:00 AM,186.5,7.74
13,08/31/18 07:02:00 AM,186.4,7.75
14,08/31/18 07:03:00 AM,186.4,7.74
15,08/31/18 07:04:00 AM,186.3,7.74
16,08/31/18 07:05:00 AM,186.3,7.75
17,08/31/18 07:06:00 AM,186.3,7.75
18,08/31/18 07:07:00 AM,186.3,7.76
19,08/31/18 07:08:00 AM,186.3,7.75
20,08/31/18 07:09:00 AM,186.3,7.75
21,08/31/18 07:10:00 AM,186.3,7.75
22,08/31/18 07:11:00 AM,186.3,7.75
23,08/31/18 07:12:00 AM,186.3,7.76
24,08/31/18 07:13:00 AM,186.4,7.75
25,08/31/18 07:14:00 AM,186.3,7.76
26,08/31/18 07:15:00 AM,186.3,7.75
27,08/31/18 07:16:00 AM,186.3,7.77
28,08/31/18 07:17:00 AM,186.3,7.77
29,08/31/18 07:18:00 AM,186.3,7.76
30,08/31/18 07:19:00 AM,186.3,7.75
31,08/31/18 07:20:00 AM,186.3,7.76
32,08/31/18 07:21:00 AM,186.3,7.77
33,08/31/18 07:22:00 AM,186.3,7.77
34,08/31/18 07:23:00 AM,186.3,7.77
35,08/31/18 07:24:00 AM,186.3,7.77
36,08/31/18 07:25:00 AM,186.3,7.77
37,08/31/18 07:26:00 AM,186.4,7.77
38,08/31/18 07:27:00 AM,186.3,7.77
39,08/31/18 07:28:00 AM,186.4,7.77
40,08/31/18 07:29:00 AM,186.4,7.76
41,08/31/18 07:30:00 AM,186.3,7.77
42,08/31/18 07:31:00 AM,186.4,7.77
43,08/31/18 07:32:00 AM,186.3,7.77
44,08/31/18 07:33:00 AM,186.4,7.78
45,08/31/18 07:34:00 AM,186.4,7.78
46,08/31/18 07:35:00 AM,186.4,7.77
47,08/31/18 07:36:00 AM,186.4,7.78
48,08/31/18 07:37:00 AM,186.4,7.80
49,08/31/18 07:38:00 AM,186.4,7.80
50,08/31/18 07:39:00 AM,186.4,7.78
51,08/31/18 07:40:00 AM,186.4,7.78
52,08/31/18 07:41:00 AM,186.4,7.78
53,08/31/18 07:42:00 AM,186.4,7.80
54,08/31/18 07:43:00 AM,186.4,7.81
55,08/31/18 07:44:00 AM,186.4,7.81
56,08/31/18 07:45:00 AM,186.4,7.81
57,08/31/18 07:46:00 AM,186.4,7.80
58,08/31/18 07:47:00 AM,186.4,7.81
59,08/31/18 07:48:00 AM,186.4,7.81
60,08/31/18 07:49:00 AM,186.4,7.82
61,08/31/18 07:50:00 AM,186.4,7.81
62,08/31/18 07:51:00 AM,186.4,7.82
63,08/31/18 07:52:00 AM,186.4,7.82
64,08/31/18 07:53:00 AM,186.4,7.82
65,08/31/18 07:54:00 AM,186.4,7.82
66,08/31/18 07:55:00 AM,186.4,7.82
67,08/31/18 07:56:00 AM,186.4,7.83
68,08/31/18 07:57:00 AM,186.4,7.82
69,08/31/18 07:58:00 AM,186.4,7.83
70,08/31/18 07:59:00 AM,186.4,7.83
71,08/31/18 08:00:00 AM,186.4,7.84
72,08/31/18 08:01:00 AM,186.4,7.84
73,08/31/18 08:02:00 AM,186.4,7.83
74,08/31/18 08:03:00 AM,186.4,7.84
75,08/31/18 08:04:00 AM,186.4,7.84
76,08/31/18 08:05:00 AM,186.5,7.83
77,08/31/18 08:06:00 AM,186.7,7.84
78,08/31/18 08:07:00 AM,187.2,7.84
79,08/31/18 08:08:00 AM,187.6,7.85
80,08/31/18 08:09:00 AM,189.4,7.84
81,08/31/18 08:10:00 AM,190.8,7.85
82,08/31/18 08:11:00 AM,192.3,7.87
83,08/31/18 08:12:00 AM,193.9,7.85
84,08/31/18 08:13:00 AM,195.8,7.85
85,08/31/18 08:14:00 AM,197.9,7.87
86,08/31/18 08:15:00 AM,199.0,7.88
87,08/31/18 08:16:00 AM,199.5,7.88
88,08/31/18 08:17:00 AM,199.9,7.88
89,08/31/18 08:18:00 AM,200.1,7.88
90,08/31/18 08:19:00 AM,200.1,7.89
91,08/31/18 08:20:00 AM,200.1,7.89
92,08/31/18 08:21:00 AM,200.1,7.90
93,08/31/18 08:22:00 AM,199.8,7.90
94,08/31/18 08:23:00 AM,199.6,7.90
95,08/31/18 08:24:00 AM,199.3,7.90
96,08/31/18 08:25:00 AM,199.0,7.91
97,08/31/18 08:26:00 AM,198.8,7.91
98,08/31/18 08:27:00 AM,198.5,7.91
99,08/31/18 08:28:00 AM,198.0,7.94
100,08/31/18 08:29:00 AM,197.9,7.92
101,08/31/18 08:30:00 AM,197.6,7.92
102,08/31/18 08:31:00 AM,197.4,7.92
103,08/31/18 08:32:00 AM,197.1,7.95
104,08/31/18 08:33:00 AM,196.9,7.94
105,08/31/18 08:34:00 AM,196.6,7.95
106,08/31/18 08:35:00 AM,196.3,7.95
107,08/31/18 08:36:00 AM,196.1,7.95
108,08/31/18 08:37:00 AM,195.8,7.96
109,08/31/18 08:38:00 AM,195.5,7.96
110,08/31/18 08:39:00 AM,195.2,7.97
111,08/31/18 08:40:00 AM,194.9,7.97
112,08/31/18 08:41:00 AM,194.7,7.98
113,08/31/18 08:42:00 AM,194.4,7.98
114,08/31/18 08:43:00 AM,194.1,7.99
115,08/31/18 08:44:00 AM,194.0,7.99
116,08/31/18 08:45:00 AM,193.8,8.01
117,08/31/18 08:46:00 AM,193.6,8.02
118,08/31/18 08:47:00 AM,193.5,8.02
119,08/31/18 08:48:00 AM,193.3,8.03
120,08/31/18 08:49:00 AM,193.3,8.05
121,08/31/18 08:50:00 AM,193.1,8.07
122,08/31/18 08:51:00 AM,192.9,8.07
123,08/31/18 08:52:00 AM,192.7,8.07
124,08/31/18 08:53:00 AM,192.6,8.09
125,08/31/18 08:54:00 AM,192.4,8.09
126,08/31/18 08:55:00 AM,192.2,8.09
127,08/31/18 08:56:00 AM,192.1,8.09
128,08/31/18 08:57:00 AM,191.9,8.11
129,08/31/18 08:58:00 AM,191.7,8.11
130,08/31/18 08:59:00 AM,191.6,8.12
131,08/31/18 09:00:00 AM,191.3,8.12
132,08/31/18 09:01:00 AM,191.3,8.13
133,08/31/18 09:02:00 AM,191.1,8.13
134,08/31/18 09:03:00 AM,191.0,8.14
135,08/31/18 09:04:00 AM,190.8,8.13
136,08/31/18 09:05:00 AM,190.8,8.14
137,08/31/18 09:06:00 AM,190.7,8.17
138,08/31/18 09:07:00 AM,190.5,8.16
139,08/31/18 09:08:00 AM,190.4,8.17
140,08/31/18 09:09:00 AM,190.3,8.17
141,08/31/18 09:10:00 AM,190.2,8.17
142,08/31/18 09:11:00 AM,190.2,8.18
143,08/31/18 09:12:00 AM,190.0,8.19
144,08/31/18 09:13:00 AM,190.0,8.20
145,08/31/18 09:14:00 AM,189.7,8.20
146,08/31/18 09:15:00 AM,189.8,8.21
147,08/31/18 09:16:00 AM,189.6,8.21
148,08/31/18 09:17:00 AM,189.6,8.23
149,08/31/18 09:18:00 AM,189.5,8.23
150,08/31/18 09:19:00 AM,189.4,8.24
151,08/31/18 09:20:00 AM,189.3,8.24
152,08/31/18 09:21:00 AM,189.1,8.25
153,08/31/18 09:22:00 AM,189.1,8.25
154,08/31/18 09:23:00 AM,189.1,8.26
155,08/31/18 09:24:00 AM,189.1,8.28
156,08/31/18 09:25:00 AM,189.1,8.27
157,08/31/18 09:26:00 AM,188.9,8.28
158,08/31/18 09:27:00 AM,189.0,8.31
159,08/31/18 09:28:00 AM,188.8,8.30
160,08/31/18 09:29:00 AM,188.8,8.31
161,08/31/18 09:30:00 AM,188.8,8.31
162,08/31/18 09:31:00 AM,188.7,8.32
163,08/31/18 09:32:00 AM,188.6,8.31
164,08/31/18 09:33:00 AM,188.5,8.33
165,08/31/18 09:34:00 AM,188.5,8.34
166,08/31/18 09:35:00 AM,188.5,8.35
167,08/31/18 09:36:00 AM,188.4,8.36
168,08/31/18 09:37:00 AM,188.4,8.35
169,08/31/18 09:38:00 AM,188.3,8.36
170,08/31/18 09:39:00 AM,188.3,8.40
171,08/31/18 09:40:00 AM,188.3,8.40
172,08/31/18 09:41:00 AM,188.3,8.41
173,08/31/18 09:42:00 AM,188.3,8.43
174,08/31/18 09:43:00 AM,188.2,8.45
175,08/31/18 09:44:00 AM,188.3,8.45
176,08/31/18 09:45:00 AM,188.2,8.45
177,08/31/18 09:46:00 AM,188.2,8.47
178,08/31/18 09:47:00 AM,188.1,8.47
179,08/31/18 09:48:00 AM,188.0,8.47
180,08/31/18 09:49:00 AM,188.1,8.49
181,08/31/18 09:50:00 AM,188.3,8.53
182,08/31/18 09:51:00 AM,188.1,8.54
183,08/31/18 09:52:00 AM,188.1,8.54
184,08/31/18 09:53:00 AM,188.2,8.56
185,08/31/18 09:54:00 AM,188.3,8.61
186,08/31/18 09:55:00 AM,188.4,8.65
187,08/31/18 09:56:00 AM,188.4,8.65
188,08/31/18 09:57:00 AM,188.4,8.67
189,08/31/18 09:58:00 AM,188.5,8.71
190,08/31/18 09:59:00 AM,188.6,8.74
191,08/31/18 10:00:00 AM,188.6,8.76
192,08/31/18 10:01:00 AM,188.7,8.79
193,08/31/18 10:02:00 AM,188.7,8.81
194,08/31/18 10:03:00 AM,188.8,8.83
195,08/31/18 10:04:00 AM,188.9,8.84
196,08/31/18 10:05:00 AM,188.9,8.86
197,08/31/18 10:06:00 AM,188.7,8.85
198,08/31/18 10:07:00 AM,188.7,8.84
199,08/31/18 10:08:00 AM,188.6,8.84
200,08/31/18 10:09:00 AM,188.6,8.86
201,08/31/18 10:10:00 AM,188.7,8.91
202,08/31/18 10:11:00 AM,188.7,8.90
203,08/31/18 10:12:00 AM,188.8,8.92
204,08/31/18 10:13:00 AM,188.8,8.96
205,08/31/18 10:14:00 AM,188.8,8.96
206,08/31/18 10:15:00 AM,188.7,8.94
207,08/31/18 10:16:00 AM,188.8,8.98
208,08/31/18 10:17:00 AM,189.0,9.03
209,08/31/18 10:18:00 AM,189.0,9.05
210,08/31/18 10:19:00 AM,188.9,9.03
211,08/31/18 10:20:00 AM,188.8,9.03
212,08/31/18 10:21:00 AM,188.7,9.01
213,08/31/18 10:22:00 AM,188.6,9.00
214,08/31/18 10:23:00 AM,188.6,9.01
215,08/31/18 10:24:00 AM,188.8,9.05
216,08/31/18 10:25:00 AM,188.8,9.06
217,08/31/18 10:26:00 AM,188.6,9.06
218,08/31/18 10:27:00 AM,188.6,9.04
219,08/31/18 10:28:00 AM,188.5,9.05
220,08/31/18 10:29:00 AM,188.5,9.05
221,08/31/18 10:30:00 AM,188.5,9.05
222,08/31/18 10:31:00 AM,188.4,9.06
223,08/31/18 10:32:00 AM,188.5,9.06
224,08/31/18 10:33:00 AM,188.5,9.07
225,08/31/18 10:34:00 AM,188.5,9.08
226,08/31/18 10:35:00 AM,188.4,9.08
227,08/31/18 10:36:00 AM,188.3,9.08
228,08/31/18 10:37:00 AM,188.4,9.10
229,08/31/18 10:38:00 AM,188.4,9.11
230,08/31/18 10:39:00 AM,188.4,9.13
231,08/31/18 10:40:00 AM,188.6,9.19
232,08/31/18 10:41:00 AM,188.6,9.21
233,08/31/18 10:42:00 AM,188.7,9.25
234,08/31/18 10:43:00 AM,188.9,9.29
235,08/31/18 10:44:00 AM,189.0,9.30
236,08/31/18 10:45:00 AM,189.0,9.32
237,08/31/18 10:46:00 AM,189.3,9.39
238,08/31/18 10:47:00 AM,189.4,9.42
239,08/31/18 10:48:00 AM,189.3,9.40
240,08/31/18 10:49:00 AM,189.2,9.39
241,08/31/18 10:50:00 AM,189.3,9.43
242,08/31/18 10:51:00 AM,189.5,9.49
243,08/31/18 10:52:00 AM,189.4,9.48
244,08/31/18 10:53:00 AM,189.3,9.44
245,08/31/18 10:54:00 AM,189.1,9.42
246,08/31/18 10:55:00 AM,189.2,9.44
247,08/31/18 10:56:00 AM,189.3,9.48
248,08/31/18 10:57:00 AM,189.3,9.50
249,08/31/18 10:58:00 AM,189.5,9.52
250,08/31/18 10:59:00 AM,189.7,9.57
251,08/31/18 11:00:00 AM,189.7,9.61
252,08/31/18 11:01:00 AM,189.7,9.58
253,08/31/18 11:02:00 AM,189.4,9.55
254,08/31/18 11:03:00 AM,189.2,9.51
255,08/31/18 11:04:00 AM,189.3,9.52
256,08/31/18 11:05:00 AM,189.2,9.55
257,08/31/18 11:06:00 AM,189.3,9.55
258,08/31/18 11:07:00 AM,189.4,9.61
259,08/31/18 11:08:00 AM,189.6,9.64
260,08/31/18 11:09:00 AM,189.9,9.69
261,08/31/18 11:10:00 AM,189.9,9.73
262,08/31/18 11:11:00 AM,190.1,9.77
263,08/31/18 11:12:00 AM,190.1,9.78
264,08/31/18 11:13:00 AM,189.9,9.76
265,08/31/18 11:14:00 AM,189.8,9.73
266,08/31/18 11:15:00 AM,189.8,9.74
267,08/31/18 11:16:00 AM,190.2,9.83
268,08/31/18 11:17:00 AM,190.3,9.88
269,08/31/18 11:18:00 AM,190.4,9.90
270,08/31/18 11:19:00 AM,190.5,9.92
271,08/31/18 11:20:00 AM,190.4,9.92
272,08/31/18 11:21:00 AM,189.9,9.91
273,08/31/18 11:22:00 AM,190.0,9.98
274,08/31/18 11:23:00 AM,190.3,10.03
275,08/31/18 11:24:00 AM,190.2,10.08
276,08/31/18 11:25:00 AM,190.2,10.13
277,08/31/18 11:26:00 AM,190.2,10.14
278,08/31/18 11:27:00 AM,190.0,10.16
279,08/31/18 11:28:00 AM,190.0,10.22
280,08/31/18 11:29:00 AM,190.0,10.26
281,08/31/18 11:30:00 AM,190.0,10.31
282,08/31/18 11:31:00 AM,189.9,10.36
283,08/31/18 11:32:00 AM,189.6,10.38
284,08/31/18 11:33:00 AM,189.6,10.44
285,08/31/18 11:34:00 AM,189.5,10.49
286,08/31/18 11:35:00 AM,189.2,10.51
287,08/31/18 11:36:00 AM,188.8,10.48
288,08/31/18 11:37:00 AM,188.4,10.49
289,08/31/18 11:38:00 AM,188.2,10.55
290,08/31/18 11:39:00 AM,187.9,10.55
291,08/31/18 11:40:00 AM,187.2,10.50
292,08/31/18 11:41:00 AM,187.1,10.55
293,08/31/18 11:42:00 AM,186.9,10.58
294,08/31/18 11:43:00 AM,186.3,10.58
295,08/31/18 11:44:00 AM,186.0,10.60
296,08/31/18 11:45:00 AM,186.0,10.67
297,08/31/18 11:46:00 AM,185.5,10.66
298,08/31/18 11:47:00 AM,185.0,10.64
299,08/31/18 11:48:00 AM,184.4,10.63
300,08/31/18 11:49:00 AM,184.0,10.63
301,08/31/18 11:50:00 AM,183.6,10.60
302,08/31/18 11:51:00 AM,183.1,10.59
303,08/31/18 11:52:00 AM,182.8,10.60
304,08/31/18 11:53:00 AM,182.3,10.60
305,08/31/18 11:54:00 AM,182.1,10.67
306,08/31/18 11:55:00 AM,182.2,10.77
307,08/31/18 11:56:00 AM,181.3,10.74
308,08/31/18 11:57:00 AM,180.7,10.72
309,08/31/18 11:58:00 AM,180.2,10.73
310,08/31/18 11:59:00 AM,180.2,10.80
311,08/31/18 12:00:00 PM,180.1,10.89
312,08/31/18 12:01:00 PM,179.9,10.96
313,08/31/18 12:02:00 PM,179.3,10.94
314,08/31/18 12:03:00 PM,178.6,10.89
315,08/31/18 12:04:00 PM,178.4,10.95
316,08/31/18 12:05:00 PM,178.3,11.03
317,08/31/18 12:06:00 PM,178.1,11.07
318,08/31/18 12:07:00 PM,177.9,11.13
319,08/31/18 12:08:00 PM,177.7,11.22
320,08/31/18 12:09:00 PM,177.4,11.28
321,08/31/18 12:10:00 PM,176.9,11.29
322,08/31/18 12:11:00 PM,176.1,11.24
323,08/31/18 12:12:00 PM,175.6,11.23
324,08/31/18 12:13:00 PM,175.0,11.23
325,08/31/18 12:14:00 PM,174.6,11.23
326,08/31/18 12:15:00 PM,174.0,11.22
327,08/31/18 12:16:00 PM,173.7,11.25
328,08/31/18 12:17:00 PM,173.1,11.26
329,08/31/18 12:18:00 PM,172.7,11.25
330,08/31/18 12:19:00 PM,172.1,11.25
331,08/31/18 12:20:00 PM,171.4,11.25
332,08/31/18 12:21:00 PM,171.2,11.30
333,08/31/18 12:22:00 PM,170.5,11.32
334,08/31/18 12:23:00 PM,170.0,11.31
335,08/31/18 12:24:00 PM,169.6,11.30
336,08/31/18 12:25:00 PM,169.1,11.30
337,08/31/18 12:26:00 PM,168.4,11.30
