"Plot Title: Pink"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20414841, SEN S/N: 20414841)","Temp, °C (LGR S/N: 20414841, SEN S/N: 20414841)"
1,09/28/18 07:00:00 AM,1.0,15.81
2,09/28/18 07:00:01 AM,1.0,15.80
3,09/28/18 07:00:02 AM,1.0,15.80
4,09/28/18 07:00:03 AM,1.0,15.80
5,09/28/18 07:00:04 AM,1.0,15.79
6,09/28/18 07:00:05 AM,1.0,15.80
7,09/28/18 07:00:06 AM,1.0,15.79
8,09/28/18 07:00:07 AM,1.1,15.80
9,09/28/18 07:00:08 AM,1.0,15.79
10,09/28/18 07:00:09 AM,1.1,15.79
11,09/28/18 07:00:10 AM,1.0,15.78
12,09/28/18 07:00:11 AM,0.4,15.78
13,09/28/18 07:00:12 AM,1.0,15.78
14,09/28/18 07:00:13 AM,1.0,15.78
15,09/28/18 07:00:14 AM,1.0,15.76
16,09/28/18 07:00:15 AM,1.0,15.76
17,09/28/18 07:00:16 AM,1.0,15.76
18,09/28/18 07:00:17 AM,0.4,15.76
19,09/28/18 07:00:18 AM,1.0,15.76
20,09/28/18 07:00:19 AM,1.1,15.75
21,09/28/18 07:00:20 AM,1.0,15.74
22,09/28/18 07:00:21 AM,1.0,15.74
23,09/28/18 07:00:22 AM,1.0,15.75
24,09/28/18 07:00:23 AM,0.4,15.74
25,09/28/18 07:00:24 AM,1.0,15.73
26,09/28/18 07:00:25 AM,1.0,15.73
27,09/28/18 07:00:26 AM,1.0,15.73
28,09/28/18 07:00:27 AM,1.0,15.72
29,09/28/18 07:00:28 AM,0.5,15.72
30,09/28/18 07:00:29 AM,0.4,15.72
31,09/28/18 07:00:30 AM,1.0,15.71
32,09/28/18 07:00:31 AM,1.0,15.71
33,09/28/18 07:00:32 AM,1.0,15.70
34,09/28/18 07:00:33 AM,0.8,15.71
35,09/28/18 07:00:34 AM,1.0,15.70
36,09/28/18 07:00:35 AM,1.0,15.70
37,09/28/18 07:00:36 AM,1.0,15.68
38,09/28/18 07:00:37 AM,1.0,15.68
39,09/28/18 07:00:38 AM,1.0,15.68
40,09/28/18 07:00:39 AM,1.0,15.67
41,09/28/18 07:00:40 AM,1.0,15.66
42,09/28/18 07:00:41 AM,1.0,15.66
43,09/28/18 07:00:42 AM,1.0,15.65
44,09/28/18 07:00:43 AM,1.0,15.65
45,09/28/18 07:00:44 AM,1.0,15.64
46,09/28/18 07:00:45 AM,1.0,15.64
47,09/28/18 07:00:46 AM,1.0,15.64
48,09/28/18 07:00:47 AM,1.0,15.63
49,09/28/18 07:00:48 AM,1.0,15.63
50,09/28/18 07:00:49 AM,0.4,15.63
51,09/28/18 07:00:50 AM,1.0,15.63
52,09/28/18 07:00:51 AM,1.0,15.61
53,09/28/18 07:00:52 AM,1.0,15.60
54,09/28/18 07:00:53 AM,1.0,15.59
55,09/28/18 07:00:54 AM,1.0,15.59
56,09/28/18 07:00:55 AM,1.0,15.59
57,09/28/18 07:00:56 AM,1.0,15.58
58,09/28/18 07:00:57 AM,1.0,15.58
59,09/28/18 07:00:58 AM,1.0,15.58
60,09/28/18 07:00:59 AM,1.0,15.58
61,09/28/18 07:01:00 AM,1.0,15.57
