"Plot Title: Yellow"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20414842, SEN S/N: 20414842)","Temp, °C (LGR S/N: 20414842, SEN S/N: 20414842)"
1,09/28/18 08:00:00 AM,0.5,18.37
2,09/28/18 08:00:01 AM,0.5,18.37
3,09/28/18 08:00:02 AM,2.1,18.37
4,09/28/18 08:00:03 AM,0.6,18.37
5,09/28/18 08:00:04 AM,0.5,18.37
6,09/28/18 08:00:05 AM,0.4,18.37
7,09/28/18 08:00:06 AM,0.5,18.36
8,09/28/18 08:00:07 AM,0.5,18.36
9,09/28/18 08:00:08 AM,-0.0,18.36
10,09/28/18 08:00:09 AM,0.5,18.36
11,09/28/18 08:00:10 AM,0.5,18.36
12,09/28/18 08:00:11 AM,0.5,18.35
13,09/28/18 08:00:12 AM,-0.0,18.35
14,09/28/18 08:00:13 AM,-0.2,18.35
15,09/28/18 08:00:14 AM,0.5,18.34
16,09/28/18 08:00:15 AM,0.6,18.34
17,09/28/18 08:00:16 AM,0.5,18.34
18,09/28/18 08:00:17 AM,0.5,18.34
19,09/28/18 08:00:18 AM,0.5,18.34
20,09/28/18 08:00:19 AM,-0.0,18.33
21,09/28/18 08:00:20 AM,0.5,18.33
22,09/28/18 08:00:21 AM,0.5,18.33
23,09/28/18 08:00:22 AM,0.5,18.33
24,09/28/18 08:00:23 AM,0.5,18.32
25,09/28/18 08:00:24 AM,0.5,18.32
26,09/28/18 08:00:25 AM,-0.0,18.32
27,09/28/18 08:00:26 AM,0.5,18.30
28,09/28/18 08:00:27 AM,0.5,18.30
29,09/28/18 08:00:28 AM,0.5,18.30
30,09/28/18 08:00:29 AM,0.5,18.30
31,09/28/18 08:00:30 AM,0.4,18.30
32,09/28/18 08:00:31 AM,0.5,18.29
33,09/28/18 08:00:32 AM,0.5,18.29
34,09/28/18 08:00:33 AM,0.5,18.29
35,09/28/18 08:00:34 AM,0.5,18.29
36,09/28/18 08:00:35 AM,0.4,18.28
37,09/28/18 08:00:36 AM,-0.2,18.27
38,09/28/18 08:00:37 AM,0.5,18.28
39,09/28/18 08:00:38 AM,0.5,18.27
40,09/28/18 08:00:39 AM,0.5,18.27
41,09/28/18 08:00:40 AM,-0.0,18.26
42,09/28/18 08:00:41 AM,0.5,18.26
43,09/28/18 08:00:42 AM,0.5,18.26
44,09/28/18 08:00:43 AM,0.5,18.26
45,09/28/18 08:00:44 AM,0.5,18.26
46,09/28/18 08:00:45 AM,0.5,18.25
47,09/28/18 08:00:46 AM,0.5,18.25
48,09/28/18 08:00:47 AM,-0.0,18.24
49,09/28/18 08:00:48 AM,-0.0,18.25
50,09/28/18 08:00:49 AM,-0.0,18.25
51,09/28/18 08:00:50 AM,0.5,18.24
52,09/28/18 08:00:51 AM,-0.0,18.22
53,09/28/18 08:00:52 AM,0.5,18.24
54,09/28/18 08:00:53 AM,0.5,18.22
55,09/28/18 08:00:54 AM,2.1,18.22
56,09/28/18 08:00:55 AM,0.5,18.22
57,09/28/18 08:00:56 AM,0.4,18.21
58,09/28/18 08:00:57 AM,0.5,18.21
59,09/28/18 08:00:58 AM,0.5,18.21
60,09/28/18 08:00:59 AM,0.5,18.20
61,09/28/18 08:01:00 AM,0.6,18.21
62,09/28/18 08:01:01 AM,0.5,18.22
63,09/28/18 08:01:02 AM,-0.0,18.20
64,09/28/18 08:01:03 AM,0.5,18.19
65,09/28/18 08:01:04 AM,0.5,18.19
